"Table 1.  Updated Annual Per Capita Poverty Threshold, Poverty Incidence and Magnitude of Poor Families with Measures of Precision, by Region and Province: 2015 and 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province,"Annual Per Capita Poverty Threshold 
(in PhP)",, Poverty Incidence among Families,,,,,,,,,,Magnitude of Poor Families,,,,,,,,,,,,,,
,,,Estimates (%),,Coefficient of Variation,,Standard Error,,90% Confidence Interval,,,,Estimate ('000),,Coefficient of Variation,,Standard Error,,90% Confidence Interval,,,,,,,,
,2015u,2018u,2015u,2018u,2015u,2018u,2015u,2018u,2015u,,2018u,,2015u,2018u,2015u,2018u,2015u,2018u,2015u,,2018u,,,,,,
,,,,,,,,,Lower Limit,Upper Limit,Lower Limit,Upper Limit,,,,,,,Lower Limit,Upper Limit,Lower Limit,Upper Limit,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES*," 22,747 "," 25,813 ",18.0, 12.1 ,2.1, 1.4 ,0.4, 0.2 ,17.4,18.6, 11.9 , 12.4 ," 4,138.4 "," 3,004.6 ", 2.1 , 1.4 ,86.0, 42.4 ," 3,996.8 "," 4,280.0 "," 2,934.9 "," 3,074.3 ",,,,,
,,,,,,,,,,,,,  ,  ,,,,,,,,,,,,,
NCR*," 25,188 "," 28,682 ",2.8, 1.4 ,10.7, 10.4 ,0.3, 0.1 ,2.3,3.3, 1.2 , 1.7 , 86.1 , 47.6 , 11.4 , 10.6 ,9.8, 5.1 , 70.0 , 102.2 , 39.3 , 55.9 ,,,,,
"1st District b/, c/"," 25,188 "," 28,682 ",3.6,1.9,25.4,30.8,0.9, 0.6 ,2.1,5.1, 1.0 , 2.9 , 13.6 , 9.0 , 27.4 , 31.6 ,3.7, 2.8 , 7.5 , 19.8 , 4.3 , 13.7 ,,,,,
"2nd District b/, c/"," 25,188 "," 28,682 ",1.9,1.4,20.6,20.1,0.4, 0.3 ,1.3,2.6, 1.0 , 1.9 , 22.3 , 16.5 , 22.7 , 20.4 ,5.1, 3.4 , 13.9 , 30.6 , 10.9 , 22.0 ,,,,,
3rd District c/," 25,188 "," 28,682 ",3.4,2.2,21.0,13.8,0.7, 0.3 ,2.2,4.6, 1.7 , 2.7 , 24.0 , 15.1 , 21.4 , 15.1 ,5.1, 2.3 , 15.5 , 32.5 , 11.4 , 18.9 ,,,,,
