Province,Region,Mean_Admin_Prop,H0_PersistentEntropy,H0_L2_Norm,H0_Total_Persistence
ABRA,CAR,0.39667523230380347,0.9616500947745418,1.122028373079644,13.915456542713489
AGUSAN DEL NORTE,Region 13,0.4654677494114703,0.9508657884421519,1.143270187356159,14.942518035375919
AGUSAN DEL SUR,Region 13,0.41042155376053435,0.951317725452727,1.245685564161779,19.498556809753666
AKLAN,Region 6,0.477699748134654,0.9744409366506237,0.6139904609455824,16.068863332972235
ALBAY,Region 5,0.4537812840443786,0.9765631561992837,0.447306686789259,20.44534997228488
ANTIQUE,Region 6,0.4703000456050164,0.9648637477905929,0.9880061482988456,20.866180865802534
APAYAO,CAR,0.4035759850348778,0.9749516928432406,0.8215122739091268,8.833572908083282
AURORA,Region 3,0.4365558412066545,0.9717437550631532,0.5270075427153221,6.0744939914042035
BASILAN,ARMM,0.35269808667630514,0.9193479653349571,17.242072406106104,51.064288800126576
BATAAN,Region 3,0.45027510829459155,0.9574895910813475,0.730476587962064,6.237094651680687
BATANES,Region 2,0.5581300106267717,0.9284790295978164,1.8333944323544442,2.9711976342498447
BATANGAS,Region 4-A,0.488003067910797,0.9687651904961951,0.7517514079017759,27.810287636039135
BENGUET,CAR,0.4527325493083075,0.9616062527963862,0.661075348761756,15.048192694654663
BILIRAN,Region 8,0.402898165372688,0.9718729364455255,0.5612515299510072,6.933975830431323
BOHOL,Region 7,0.47435759110893616,0.9700799473084801,0.6454809005111991,35.065776980447836
BUKIDNON,Region 10,0.39063259121655236,0.9708744688280517,0.8410353364997553,26.089406211013912
BULACAN,Region 3,0.440936787517418,0.977674040701078,0.3232563694614033,12.788270459215797
CAGAYAN,Region 2,0.434948041301814,0.959528574105311,1.235005099616124,24.49192876669643
CAMARINES NORTE,Region 5,0.4626775162535744,0.9730722752504014,0.4467442732197094,9.677018426450115
CAMARINES SUR,Region 5,0.48229019311106835,0.9735468632851788,0.7304666739049076,35.44868779540067
CAMIGUIN,Region 10,0.5707726777033143,0.9634898295470745,0.49334079786044904,2.9055957407574575
CAPIZ,Region 6,0.5206322940546085,0.9637018378293555,1.40857490798509,26.422804990271175
CATANDUANES,Region 5,0.4328610402887445,0.9756530939436606,0.47029652951285833,10.347557922049635
CAVITE,Region 4-A,0.4317653145631699,0.9683090373930356,0.451986350957901,13.090120281963278
CEBU,Region 7,0.44696085900584526,0.9610549565313241,1.2662185481357568,40.68195566466204
COMPOSTELA VALLEY,Region 11,0.421536685844404,0.9608832813685886,0.8085247386263291,11.70888659780477
COTABATO (NORTH COT.),Region 12,0.4202328632715399,0.9257425081381634,5.575693272804776,38.51718143228644
DAVAO (DAVAO DEL NORTE),Region 11,0.39950996759184204,0.9651221599634652,0.6396251755446742,9.095311051885776
DAVAO DEL SUR,Region 11,0.34452817971895827,0.9567185686575215,1.2344505844029054,22.936049927922134
DAVAO OCCIDENTAL,Region 11,0.33712971579868145,0.9692895686026765,1.1902685459063513,10.180932000119824
DAVAO ORIENTAL,Region 11,0.38838839430850813,0.969636418640129,0.6466825152568809,11.09934852712443
DINAGAT ISLANDS,Region 13,0.4135605480890108,0.9750622920851336,1.2761073439804291,9.48197572544896
EASTERN SAMAR,Region 8,0.4449649451359145,0.9529102872845203,2.2064507517017526,25.17023655455675
GUIMARAS,Region 6,0.5478173592098631,0.965191385461979,0.9465278779949996,6.514875124279454
IFUGAO,CAR,0.4308453095599161,0.9801671106938145,0.6603672339271226,11.780707573151481
ILOCOS NORTE,Region 1,0.3905368653530072,0.9696159390168241,0.572603190580251,16.863517229339983
ILOCOS SUR,Region 1,0.43873952431768637,0.9729350488577317,0.6440004800630208,23.793815241496866
ILOILO,Region 6,0.5063906993671481,0.9682352487251705,0.9240483175863775,40.60679645641365
ISABELA,Region 2,0.4309390471099272,0.957760484052478,1.222561405406296,32.90958139324979
KALINGA,CAR,0.3837280672147939,0.9647733692542462,0.7338819380081589,10.413399248491785
LA UNION,Region 1,0.3984244992767488,0.9688431754764619,0.6267445314455911,17.5693829997747
LAGUNA,Region 4-A,0.4452048577813727,0.9701722238495512,0.33375586872313234,11.093117681963392
LANAO DEL NORTE,Region 10,0.4262460261466527,0.9282924729623452,6.757967782948928,35.87806356036825
LANAO DEL SUR,ARMM,0.38387407187362216,0.9442009247053027,2.618960834068861,18.751686568837727
LEYTE,Region 8,0.5029804978576964,0.9651745599216883,2.4970702599384573,70.41143622634614
MAGUINDANAO,ARMM,0.47708601585688937,0.9394872193433358,8.905695918511555,70.39546824455947
MARINDUQUE,Region 4-B,0.45562203249090066,0.9754581957559088,0.4852134438751585,8.54832498059563
MASBATE,Region 5,0.4023342465178197,0.9683539781852833,1.1709806053521412,27.928988610092084
MISAMIS OCCIDENTAL,Region 10,0.47859571399553336,0.95763698820749,2.695728956294089,30.915179683720662
MISAMIS ORIENTAL,Region 10,0.444240734197515,0.9651235062249001,1.368641704008422,20.258194832311474
MOUNTAIN PROVINCE,CAR,0.43893804692289196,0.9712538595531658,0.6932714329881745,9.47808818738445
NATIONAL CAPITAL REGION - FOURTH DISTRICT,NCR,0.4154012522297424,0.9684611666111144,0.34088165708518287,5.341947390153946
NATIONAL CAPITAL REGION - MANILA,NCR,0.39864280094390364,0.9688352039244282,0.2051459822519331,2.596583422521741
NATIONAL CAPITAL REGION - SECOND DISTRICT,NCR,0.4230396675533017,0.9756721941312027,0.2843560738660268,7.536246311122643
NATIONAL CAPITAL REGION - THIRD DISTRICT,NCR,0.4002062624174985,0.9688045435629258,0.3084328845219998,5.146442483472738
NEGROS OCCIDENTAL,NIR,0.4263923627454031,0.9678539358452007,0.6813137556474582,28.973306196369627
NEGROS ORIENTAL,NIR,0.4561728087958376,0.9602986045462549,1.0580686030135076,24.636020381055943
NORTHERN SAMAR,Region 8,0.3961551017309672,0.9473500395602633,3.976941565352412,40.34963670736384
NUEVA ECIJA,Region 3,0.4534707914813277,0.9722585763642156,0.4892296431649852,18.870549726743675
NUEVA VIZCAYA,Region 2,0.43087104015187194,0.9566657279483707,0.9852396713723852,11.953956468126073
OCCIDENTAL MINDORO,Region 4-B,0.4824525897259203,0.9624805019808286,1.2392945258531687,13.110509964162228
ORIENTAL MINDORO,Region 4-B,0.5023829107767043,0.9482163075933814,1.8996878171172447,20.963089374683662
PALAWAN,Region 4-B,0.4313466854593808,0.9727601657100885,1.062496474276039,24.62357916516242
PAMPANGA,Region 3,0.45252112320335663,0.9583529549426278,0.835859788088245,15.386785371907287
PANGASINAN,Region 1,0.43656665105168574,0.9735612550638463,0.3245170109992504,23.544030486358814
QUEZON,Region 4-A,0.4487348388004774,0.9714173929610969,0.9578350793244721,38.73034282089885
QUIRINO,Region 2,0.4422761751428499,0.960176516566688,0.8979811556528751,7.472789403248117
RIZAL,Region 4-A,0.42244324635000685,0.9642584782074538,0.39008248026781367,8.866075591864991
ROMBLON,Region 4-B,0.4460482762577015,0.9771082050076176,0.4339042548741767,8.754990433474315
SAMAR (WESTERN SAMAR),Region 8,0.5081461729621781,0.9516652653723183,6.419453110042772,74.31600070174264
SARANGANI,Region 12,0.34786909980492453,0.9634848733268296,1.0572792325049278,14.739186013052153
SIQUIJOR,Region 7,0.5840252830853996,0.9509091575194347,2.5438300244789342,12.146659469446135
SORSOGON,Region 5,0.44114492988590087,0.9740478845503152,0.5526804636381921,14.176641115203813
SOUTH COTABATO,Region 12,0.41991852736302665,0.9691417189276517,0.7780104647282252,12.964298361566051
SOUTHERN LEYTE,Region 8,0.47682665681436326,0.9641778339025401,1.5669728037503086,24.632349112516202
SULTAN KUDARAT,Region 12,0.4259385774832779,0.9601491399080568,1.6143559473478464,16.242088641869124
SULU,ARMM,0.3003835628309848,0.8911925931487724,11.91982380900809,19.189179961794046
SURIGAO DEL NORTE,Region 13,0.4670890504924388,0.9436180316496418,2.633150043323257,15.966221512302738
SURIGAO DEL SUR,Region 13,0.4279741958839538,0.9561878050095302,1.6917911211899803,13.138890571230991
TAGUIG - PATEROS,NCR,0.4056764355566934,0.9284510692576766,0.6654673738467594,1.5800104263474548
TARLAC,Region 3,0.46571851623936417,0.9714599362082721,0.5309192487051484,14.089339793177473
TAWI-TAWI,ARMM,0.33961696514769446,0.9328268942029645,4.72456947233217,25.6730986195907
ZAMBALES,Region 3,0.4523360084168865,0.9731753170840561,0.38899178102436915,7.2999595733253955
ZAMBOANGA DEL NORTE,Region 9,0.5520972974735309,0.9652376804113302,2.16560862290497,43.027679472662996
ZAMBOANGA DEL SUR,Region 9,0.4123274124443416,0.9700710681546192,1.2444809435371802,35.186600314064634
ZAMBOANGA SIBUGAY,Region 9,0.43962240209488884,0.9553707016716589,2.0154267158913726,23.053669149152462
