Province,Region,H0_PersistentEntropy,H0_L2_Norm,H0_Total_Persistence,H0_PersistentEntropy_scaled,H0_L2_Norm_scaled,H0_Total_Persistence_scaled
ABRA,CAR,0.9616500947745418,1.122028373079644,13.915456542713489,0.005625015495110335,-0.21668715593139737,-0.4373624177254616
AGUSAN DEL NORTE,Region 13,0.9508657884421519,1.143270187356159,14.942518035375919,-0.7163557417129582,-0.20823378970051076,-0.3668123629255249
AGUSAN DEL SUR,Region 13,0.951317725452727,1.245685564161779,19.498556809753666,-0.6860997553705284,-0.16747669256454079,-0.05385273246585931
AKLAN,Region 6,0.9744409366506237,0.6139904609455824,16.068863332972235,0.8619380149957269,-0.41886529733395966,-0.2894423874792846
ALBAY,Region 5,0.9765631561992837,0.447306686789259,20.44534997228488,1.0040149951443194,-0.4851985666746878,0.011183596885392996
ANTIQUE,Region 6,0.9648637477905929,0.9880061482988456,20.866180865802534,0.22077057668563876,-0.27002247533501705,0.04009096300834337
APAYAO,CAR,0.9749516928432406,0.8215122739091268,8.833572908083282,0.8961317898504622,-0.33628017239866137,-0.7864429464683514
AURORA,Region 3,0.9717437550631532,0.5270075427153221,6.0744939914042035,0.6813688485764683,-0.4534809122743746,-0.9759673032470909
BASILAN,ARMM,0.9193479653349571,17.242072406106104,51.064288800126576,-2.8263905544425056,6.198425700970379,2.1144343054874497
BATAAN,Region 3,0.9574895910813475,0.730476587962064,6.237094651680687,-0.27290969171713597,-0.37250862178498917,-0.9647980737754703
BATANES,Region 2,0.9284790295978164,1.8333944323544442,2.9711976342498447,-2.215089976786001,0.0664072043239293,-1.1891363584807133
BATANGAS,Region 4-A,0.9687651904961951,0.7517514079017759,27.810287636039135,0.4819618366496315,-0.36404212066105324,0.5170897762992865
BENGUET,CAR,0.9616062527963862,0.661075348761756,15.048192694654663,0.002689911130430658,-0.40012745340645745,-0.3595534470219078
BILIRAN,Region 8,0.9718729364455255,0.5612515299510072,6.933975830431323,0.6900172001150557,-0.4398532173166469,-0.9169284907941706
BOHOL,Region 7,0.9700799473084801,0.6454809005111991,35.065776980447836,0.569981324377557,-0.40633340081351643,1.0154778226873054
BUKIDNON,Region 10,0.9708744688280517,0.8410353364997553,26.089406211013912,0.6231724365954614,-0.32851079847048575,0.39888041911172567
BULACAN,Region 3,0.977674040701078,0.3232563694614033,12.788270459215797,1.0783857714424017,-0.5345654780777993,-0.5147901477383378
CAGAYAN,Region 2,0.959528574105311,1.235005099616124,24.49192876669643,-0.13640517652599848,-0.17172707707243298,0.2891478256463568
CAMARINES NORTE,Region 5,0.9730722752504014,0.4467442732197094,9.677018426450115,0.7703097578192671,-0.4854223840857025,-0.7285056876316998
CAMARINES SUR,Region 5,0.9735468632851788,0.7304666739049076,35.44868779540067,0.8020821702628355,-0.372512567170957,1.0417804142764244
CAMIGUIN,Region 10,0.9634898295470745,0.49334079786044904,2.9055957407574575,0.1287903877681407,-0.4668788885656329,-1.1936426292482694
CAPIZ,Region 6,0.9637018378293555,1.40857490798509,26.422804990271175,0.14298378096913575,-0.10265345004284954,0.42178197107806226
CATANDUANES,Region 5,0.9756530939436606,0.47029652951285833,10.347557922049635,0.9430887365450223,-0.4760495571972849,-0.682445545665481
