,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,-,SURIGAO DEL NORTE,,"AKLAN, DAVAO (DAVAO DEL NORTE), SARANGANI, SURIGAO DEL SUR",,,,SULTAN KUDARAT,,,"BUKIDNON, CAPIZ",,,,,,SURIGAO DEL NORTE,,,,,,
1,SURIGAO DEL NORTE,-,,,,,,,,,,,,,,,"DAVAO OCCIDENTAL, SURIGAO DEL NORTE",,,,,,
2,,,-,,,"CATANDUANES, ROMBLON",,"ANTIQUE, BENGUET, ILOCOS SUR, NUEVA ECIJA, PALAWAN, PAMPANGA, SORSOGON",,,,,,,,,,,,,,,
3,"AKLAN, DAVAO (DAVAO DEL NORTE), SARANGANI, SURIGAO DEL SUR",,,-,,"AURORA, BULACAN, CAMIGUIN, CAVITE, COMPOSTELA VALLEY, DINAGAT ISLANDS, GUIMARAS, KALINGA, NATIONAL CAPITAL REGION - THIRD DISTRICT, RIZAL, SOUTH COTABATO",,,,,,,,,,,,,,"BILIRAN, SIQUIJOR",,,
4,,,,,-,,,,,,,,,,,,,,,,,,
5,,,"CATANDUANES, ROMBLON","AURORA, BULACAN, CAMIGUIN, CAVITE, COMPOSTELA VALLEY, DINAGAT ISLANDS, GUIMARAS, KALINGA, NATIONAL CAPITAL REGION - THIRD DISTRICT, RIZAL, SOUTH COTABATO",,-,,LA UNION,,,,,,,,"MARINDUQUE, QUIRINO, ZAMBALES",,,,,,,
6,,,,,,,-,"ISABELA, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NORTHERN SAMAR","ILOILO, MASBATE",,"ISABELA, MASBATE, NEGROS OCCIDENTAL",,,,,,,,,,,"CAMARINES SUR, ILOILO, QUEZON",
7,SULTAN KUDARAT,,"ANTIQUE, BENGUET, ILOCOS SUR, NUEVA ECIJA, PALAWAN, PAMPANGA, SORSOGON",,,LA UNION,"ISABELA, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NORTHERN SAMAR",-,,,"EASTERN SAMAR, ISABELA, NEGROS OCCIDENTAL, SOUTHERN LEYTE",,,,,,,,,,,,
8,,,,,,,"ILOILO, MASBATE",,-,,MASBATE,,,,,,,,,,,ILOILO,
9,,,,,,,,,,-,,,,,,,,,,,,,
10,"BUKIDNON, CAPIZ",,,,,,"ISABELA, MASBATE, NEGROS OCCIDENTAL","EASTERN SAMAR, ISABELA, NEGROS OCCIDENTAL, SOUTHERN LEYTE",MASBATE,,-,,,,,,,,,,,,
11,,,,,,,,,,,,-,,,,,,,,,,,
12,,,,,,,,,,,,,-,,,,,,,,,,
13,,,,,,,,,,,,,,-,,,,,,,,,
14,,,,,,,,,,,,,,,-,,,,,,,,
15,,,,,,"MARINDUQUE, QUIRINO, ZAMBALES",,,,,,,,,,-,,,,,,,
16,SURIGAO DEL NORTE,"DAVAO OCCIDENTAL, SURIGAO DEL NORTE",,,,,,,,,,,,,,,-,,,,,,
17,,,,,,,,,,,,,,,,,,-,,,,,
18,,,,,,,,,,,,,,,,,,,-,,,,
19,,,,"BILIRAN, SIQUIJOR",,,,,,,,,,,,,,,,-,,,
20,,,,,,,,,,,,,,,,,,,,,-,,
21,,,,,,,"CAMARINES SUR, ILOILO, QUEZON",,ILOILO,,,,,,,,,,,,,-,
22,,,,,,,,,,,,,,,,,,,,,,,-
