Node ID,No. Provinces,Majority Dominant_Dialect,Major Dialect Ratio,Admin Share (%),Mean Entropy (Raw),Mean Entropy (Scaled),Mean L2 Norm (Raw),Mean L2 Norm (Scaled),Mean Total Persistence (Raw),Mean Total Persistence (Scaled),No. of Provinces in each Region,Provinces Included
17,1,Waray,1/1,56.88,0.9613295250080228,-0.11226164966693382,2.247634022491595,0.22398577385140298,68.37946687982682,3.0165322174595217,Region 8 (1),SAMAR (WESTERN SAMAR)
13,1,Waray,1/1,62.79,0.9623034768690996,-0.048106082130843726,0.9337773313271396,-0.1750936553028212,58.7047058969244,2.377619864619075,Region 8 (1),LEYTE
4,1,Tausog/ Tausug,1/1,62.3,0.9436883871292514,-1.2743080072187096,5.129861619082024,1.0994524451216297,34.244279623897185,0.7622757202832535,BARMM (1),BASILAN
18,1,Tausog/ Tausug,1/1,63.05,0.9156331036089952,-3.122348663599916,12.01965287028049,3.192202726039359,26.816772475394597,0.27176995209161664,BARMM (1),SULU
5,24,Tagalog,10/24,56.63,0.9693424207721554,0.41555897052997287,0.5406674499046439,-0.294499423167756,10.26945291868776,-0.8209998734226286,"Region 3 (4), NCR (3), Region 2 (2), Region 5 (2), Region 4-A (2), Region 11 (2), CAR (2), Region 4-B (2), Region 10 (1), Region 13 (1), Region 6 (1), Region 1 (1), Region 12 (1)","AURORA, BATAAN, BATANES, BULACAN, CAMARINES NORTE, CAMIGUIN, CATANDUANES, CAVITE, COMPOSTELA VALLEY, DAVAO ORIENTAL, DINAGAT ISLANDS, GUIMARAS, KALINGA, LA UNION, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, QUIRINO, RIZAL, ROMBLON, SOUTH COTABATO, ZAMBALES"
15,4,Tagalog,3/4,53.93,0.9763195841680112,0.8751544550114199,0.26298126192834737,-0.3788456430613242,6.768633473333087,-1.0521907827023462,"Region 4-B (1), NCR (1), Region 2 (1), Region 3 (1)","MARINDUQUE, NATIONAL CAPITAL REGION - MANILA, QUIRINO, ZAMBALES"
16,3,Surigaonon,1/3,64.39,0.9445572389905634,-1.2170755232583275,1.711350517748696,0.0610915127216449,15.715554234036958,-0.4613443314049553,"Region 11 (1), Region 4-B (1), Region 13 (1)","DAVAO OCCIDENTAL, OCCIDENTAL MINDORO, SURIGAO DEL NORTE"
20,1,Sama/Samal,1/1,60.93,0.9044260077093996,-3.860575701920952,7.64147997556227,1.8623478405616376,38.723431501445454,1.0580748071931543,BARMM (1),TAWI-TAWI
12,1,Maranao,1/1,45.34,0.9499975685910858,-0.8587134244180007,3.2893067271466023,0.5403902577915946,30.399690428476685,0.5083825716161152,BARMM (1),LANAO DEL SUR
1,3,Manobo,1/3,68.41,0.9437072785715387,-1.2730636015658692,2.0370610832199607,0.16002497130346943,18.583149559121807,-0.27197096296907824,"Region 13 (2), Region 11 (1)","AGUSAN DEL SUR, DAVAO OCCIDENTAL, SURIGAO DEL NORTE"
14,1,Maguindanao,1/1,70.5,0.936388737273114,-1.755146124636029,8.611747054792003,2.1570631125620836,81.50548219655265,3.883362245017798,BARMM (1),MAGUINDANAO
6,9,Ilonggo,2/9,50.12,0.9704166038690839,0.4863169093719761,0.753870296372498,-0.22973979539812672,35.54868411140868,0.8484173977515055,"Region 7 (2), Region 5 (2), Region 6 (2), Region 2 (1), Region 8 (1), Region 4-A (1)","BOHOL, CAMARINES SUR, ILOILO, ISABELA, MASBATE, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NORTHERN SAMAR, QUEZON"
9,1,Ilonggo,1/1,65.65,0.9417429027407832,-1.4024597774066063,2.156632856066768,0.19634448405669827,33.86471775648289,0.7372098022531597,Region 12 (1),COTABATO (NORTH COT.)
7,17,Ilocano,4/17,55.62,0.9689482492227045,0.38959434078570404,0.7657116888054075,-0.22614301337136827,24.86153313171426,0.14264773691289637,"Region 8 (3), Region 6 (2), Region 2 (2), Region 1 (2), Region 3 (2), Region 4-B (2), CAR (1), Region 7 (1), Region 5 (1), Region 12 (1)","ANTIQUE, BENGUET, CAGAYAN, EASTERN SAMAR, ILOCOS SUR, ISABELA, LA UNION, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NORTHERN SAMAR, NUEVA ECIJA, ORIENTAL MINDORO, PALAWAN, PAMPANGA, SORSOGON, SOUTHERN LEYTE, SULTAN KUDARAT"
0,12,Bisaya/ Binisaya,4/12,63.02,0.9576221205234953,-0.356473554070261,1.1469337294384918,-0.11034813606095044,19.181752913938404,-0.23243974576175466,"Region 13 (3), Region 6 (2), Region 10 (2), Region 12 (2), CAR (1), Region 11 (1), Region 1 (1)","ABRA, AGUSAN DEL NORTE, AKLAN, BUKIDNON, CAPIZ, DAVAO (DAVAO DEL NORTE), ILOCOS NORTE, MISAMIS ORIENTAL, SARANGANI, SULTAN KUDARAT, SURIGAO DEL NORTE, SURIGAO DEL SUR"
19,3,Bisaya/ Binisaya,2/3,55.23,0.9567551384786737,-0.41358287061043314,0.560810507630977,-0.28838103899929624,5.869230270630418,-1.1115865463192993,"Region 8 (1), Region 7 (1), NCR (1)","BILIRAN, SIQUIJOR, TAGUIG - PATEROS"
11,1,Bisaya/ Binisaya,1/1,61.16,0.8856945796888891,-5.094440991822163,27.16265933371827,7.791838603945804,64.64340026009864,2.7698058002800576,Region 10 (1),LANAO DEL NORTE
10,9,Bisaya/ Binisaya,3/9,58.41,0.9622859788877735,-0.04925869856661051,1.1786697831891528,-0.10070841941636208,29.761776679934982,0.4662553320170882,"Region 6 (2), Region 8 (2), Region 10 (1), Region 11 (1), Region 2 (1), Region 5 (1), Region 9 (1)","BUKIDNON, CAPIZ, DAVAO DEL SUR, EASTERN SAMAR, ISABELA, MASBATE, NEGROS OCCIDENTAL, SOUTHERN LEYTE, ZAMBOANGA SIBUGAY"
8,4,Bisaya/ Binisaya,1/4,58.15,0.9655457994754195,0.16547023026881402,1.1920233985858137,-0.09665230489071987,40.641903195376685,1.1847689204630907,"Region 7 (1), Region 6 (1), Region 5 (1), Region 10 (1)","CEBU, ILOILO, MASBATE, MISAMIS OCCIDENTAL"
3,19,Bisaya/ Binisaya,6/19,60.34,0.9636195566436515,0.038585928258452744,0.7356697891320158,-0.23526813657010912,11.345830387477093,-0.7499168913888622,"Region 6 (2), CAR (2), Region 3 (2), Region 4-A (2), Region 11 (2), Region 13 (2), Region 12 (2), Region 8 (1), Region 10 (1), NCR (1), Region 2 (1), Region 7 (1)","AKLAN, APAYAO, AURORA, BILIRAN, BULACAN, CAMIGUIN, CAVITE, COMPOSTELA VALLEY, DAVAO (DAVAO DEL NORTE), DINAGAT ISLANDS, GUIMARAS, KALINGA, NATIONAL CAPITAL REGION - THIRD DISTRICT, NUEVA VIZCAYA, RIZAL, SARANGANI, SIQUIJOR, SOUTH COTABATO, SURIGAO DEL SUR"
22,1,Bisaya/ Binisaya,1/1,70.18,0.9737377791915748,0.7050873601678738,1.0803262182395816,-0.13057993738707951,55.493965556584016,2.1655855137103663,Region 9 (1),ZAMBOANGA DEL SUR
2,15,Bikol/Bicol,3/15,51.8,0.9751363232302465,0.7972114066541132,0.4556018061248101,-0.3203378184726542,19.917579938317264,-0.18384640311894265,"Region 5 (3), Region 3 (3), Region 4-A (2), CAR (2), Region 1 (2), Region 4-B (2), Region 6 (1)","ALBAY, ANTIQUE, BATANGAS, BENGUET, CATANDUANES, IFUGAO, ILOCOS SUR, LAGUNA, NUEVA ECIJA, PALAWAN, PAMPANGA, PANGASINAN, ROMBLON, SORSOGON, TARLAC"
21,4,Bikol/Bicol,1/4,49.23,0.9737382698745373,0.7051196821390102,0.6366458010268539,-0.26534633072274383,42.584646603297486,1.3130659154910314,"Region 5 (1), Region 6 (1), Region 4-A (1), Region 9 (1)","CAMARINES SUR, ILOILO, QUEZON, ZAMBOANGA DEL NORTE"
