Node ID,No. Provinces,Mean L2 Norm (Scaled),Mean Total Persistence (Scaled),Mean Entropy (Scaled),Provinces Included,Provinces (Region),Quartile-based Profile,Profile Description
0,12,-0.11034813606095044,-0.23243974576175466,-0.356473554070261,"ABRA, AGUSAN DEL NORTE, AKLAN, BUKIDNON, CAPIZ, DAVAO (DAVAO DEL NORTE), ILOCOS NORTE, MISAMIS ORIENTAL, SARANGANI, SULTAN KUDARAT, SURIGAO DEL NORTE, SURIGAO DEL SUR","ABRA (CAR), AGUSAN DEL NORTE (Region 13), AKLAN (Region 6), BUKIDNON (Region 10), CAPIZ (Region 6), DAVAO (DAVAO DEL NORTE) (Region 11), ILOCOS NORTE (Region 1), MISAMIS ORIENTAL (Region 10), SARANGANI (Region 12), SULTAN KUDARAT (Region 12), SURIGAO DEL NORTE (Region 13), SURIGAO DEL SUR (Region 13)",A-A,A-A: Standard Plurality
1,3,0.16002497130346943,-0.27197096296907824,-1.2730636015658692,"AGUSAN DEL SUR, DAVAO OCCIDENTAL, SURIGAO DEL NORTE","AGUSAN DEL SUR (Region 13), DAVAO OCCIDENTAL (Region 11), SURIGAO DEL NORTE (Region 13)",A-L,A-L: Cohesive Swing-Vote
2,15,-0.3203378184726542,-0.18384640311894265,0.7972114066541132,"ALBAY, ANTIQUE, BATANGAS, BENGUET, CATANDUANES, IFUGAO, ILOCOS SUR, LAGUNA, NUEVA ECIJA, PALAWAN, PAMPANGA, PANGASINAN, ROMBLON, SORSOGON, TARLAC","ALBAY (Region 5), ANTIQUE (Region 6), BATANGAS (Region 4-A), BENGUET (CAR), CATANDUANES (Region 5), IFUGAO (CAR), ILOCOS SUR (Region 1), LAGUNA (Region 4-A), NUEVA ECIJA (Region 3), PALAWAN (Region 4-B), PAMPANGA (Region 3), PANGASINAN (Region 1), ROMBLON (Region 4-B), SORSOGON (Region 5), TARLAC (Region 3)",L-A,L-A: Contested Center
3,19,-0.23526813657010912,-0.7499168913888622,0.038585928258452744,"AKLAN, APAYAO, AURORA, BILIRAN, BULACAN, CAMIGUIN, CAVITE, COMPOSTELA VALLEY, DAVAO (DAVAO DEL NORTE), DINAGAT ISLANDS, GUIMARAS, KALINGA, NATIONAL CAPITAL REGION - THIRD DISTRICT, NUEVA VIZCAYA, RIZAL, SARANGANI, SIQUIJOR, SOUTH COTABATO, SURIGAO DEL SUR","AKLAN (Region 6), APAYAO (CAR), AURORA (Region 3), BILIRAN (Region 8), BULACAN (Region 3), CAMIGUIN (Region 10), CAVITE (Region 4-A), COMPOSTELA VALLEY (Region 11), DAVAO (DAVAO DEL NORTE) (Region 11), DINAGAT ISLANDS (Region 13), GUIMARAS (Region 6), KALINGA (CAR), NATIONAL CAPITAL REGION - THIRD DISTRICT (NCR), NUEVA VIZCAYA (Region 2), RIZAL (Region 4-A), SARANGANI (Region 12), SIQUIJOR (Region 7), SOUTH COTABATO (Region 12), SURIGAO DEL SUR (Region 13)",L-L,L-L: Competitive/Balanced
4,1,1.0994524451216297,0.7622757202832535,-1.2743080072187096,BASILAN,BASILAN (BARMM),H-A,H-A: Polarized Mainstream
5,24,-0.294499423167756,-0.8209998734226286,0.41555897052997287,"AURORA, BATAAN, BATANES, BULACAN, CAMARINES NORTE, CAMIGUIN, CATANDUANES, CAVITE, COMPOSTELA VALLEY, DAVAO ORIENTAL, DINAGAT ISLANDS, GUIMARAS, KALINGA, LA UNION, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, QUIRINO, RIZAL, ROMBLON, SOUTH COTABATO, ZAMBALES","AURORA (Region 3), BATAAN (Region 3), BATANES (Region 2), BULACAN (Region 3), CAMARINES NORTE (Region 5), CAMIGUIN (Region 10), CATANDUANES (Region 5), CAVITE (Region 4-A), COMPOSTELA VALLEY (Region 11), DAVAO ORIENTAL (Region 11), DINAGAT ISLANDS (Region 13), GUIMARAS (Region 6), KALINGA (CAR), LA UNION (Region 1), MARINDUQUE (Region 4-B), MOUNTAIN PROVINCE (CAR), NATIONAL CAPITAL REGION - FOURTH DISTRICT (NCR), NATIONAL CAPITAL REGION - SECOND DISTRICT (NCR), NATIONAL CAPITAL REGION - THIRD DISTRICT (NCR), QUIRINO (Region 2), RIZAL (Region 4-A), ROMBLON (Region 4-B), SOUTH COTABATO (Region 12), ZAMBALES (Region 3)",L-L,L-L: Competitive/Balanced
6,9,-0.22973979539812672,0.8484173977515055,0.4863169093719761,"BOHOL, CAMARINES SUR, ILOILO, ISABELA, MASBATE, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NORTHERN SAMAR, QUEZON","BOHOL (Region 7), CAMARINES SUR (Region 5), ILOILO (Region 6), ISABELA (Region 2), MASBATE (Region 5), NEGROS OCCIDENTAL (Region 6), NEGROS ORIENTAL (Region 7), NORTHERN SAMAR (Region 8), QUEZON (Region 4-A)",A-A,A-A: Standard Plurality
7,17,-0.22614301337136827,0.14264773691289637,0.38959434078570404,"ANTIQUE, BENGUET, CAGAYAN, EASTERN SAMAR, ILOCOS SUR, ISABELA, LA UNION, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NORTHERN SAMAR, NUEVA ECIJA, ORIENTAL MINDORO, PALAWAN, PAMPANGA, SORSOGON, SOUTHERN LEYTE, SULTAN KUDARAT","ANTIQUE (Region 6), BENGUET (CAR), CAGAYAN (Region 2), EASTERN SAMAR (Region 8), ILOCOS SUR (Region 1), ISABELA (Region 2), LA UNION (Region 1), NEGROS OCCIDENTAL (Region 6), NEGROS ORIENTAL (Region 7), NORTHERN SAMAR (Region 8), NUEVA ECIJA (Region 3), ORIENTAL MINDORO (Region 4-B), PALAWAN (Region 4-B), PAMPANGA (Region 3), SORSOGON (Region 5), SOUTHERN LEYTE (Region 8), SULTAN KUDARAT (Region 12)",A-A,A-A: Standard Plurality
8,4,-0.09665230489071987,1.1847689204630907,0.16547023026881402,"CEBU, ILOILO, MASBATE, MISAMIS OCCIDENTAL","CEBU (Region 7), ILOILO (Region 6), MASBATE (Region 5), MISAMIS OCCIDENTAL (Region 10)",A-A,A-A: Standard Plurality
9,1,0.19634448405669827,0.7372098022531597,-1.4024597774066063,COTABATO (NORTH COT.),COTABATO (NORTH COT.) (Region 12),A-A,A-A: Standard Plurality
