"Household Population by Ethnicity, Region, Province, and Highly Urbanized City: Philippines, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region, Province,
and Highly Urbanized City"," Household
Population ", Ethnicity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Abelling/Aberling , Aeta , Aeta/Ayta , Aeta/Ayta-Abelling/Abellen , Aeta/Ayta-Ambala , Aeta/Ayta-Magbukun ," Aeta/Ayta-
Mag-Indi "," Aeta/Ayta-
Mang-Antsi ", Aeta/Ayta-Sambal , Afghan , Agta , Agta-Isigiran , Agta-Agay , Agta-Cimaron , Agta-Dumagat , Agta-Dupanigan , Agta-Labin ," Agta-Tabangnon/
Tabangnon ", Agta-Taboy , Agutaynen , Alta , American , Applai ," Applai-Kachakran/
Kadaclan "," Aromanen-Manobo/
Eromanen-Manobo "," Aromanen-Manobo/
Eromanen-Manobo Dibabeen "," Aromanen-Manobo/
Eromanen-Manobo Direrayaan "," Aromanen-Manobo/
Eromanen-Manobo Ilianen "," Aromanen-Manobo/
Eromanen-Manobo Isoroken "," Aromanen-Manobo/
Eromanen-Manobo Kirenteken "," Aromanen-Manobo/
Eromanen-Manobo Kulmanen "," Aromanen-Manobo/
Eromanen-Manobo Lahitanen "," Aromanen-Manobo/
Eromanen-Manobo Livunganen "," Aromanen-Manobo/
Eromanen-Manobo Mulitaan "," Aromanen-Manobo/
Eromanen-Manobo Pulengien ", Ata , Ata/Negrito , Ati , Australian , Ayangan , Ayangan-Henanga , Ayta , Blaan , Badjao , Bago , Bagobo , Bagobo Klata , Bagobo Tagabawa , Bajau , Balangao , Balangao-Lias , Baliwon , Baliwon-Fiallig/Fialika , Baliwon-Gaddang , Baliwon-I-Sadanga , Baliwon-Miligan , Bantoanon , Banwaon , Batak , Batangan , Bikol/Bicol ," Bisaya/
Binisaya ", Boholano , Bontok , Bontok-Majukayong , British ," Bugkalot/
Ilongot/
Egongot ", Bukidnon , Bukidnon-Akeanon , Bukidnon-Halowodnon ," Bukidnon-
Iraynon "," Bukidnon-
Ituman ", Bukidnon-Magahat ," Bukidnon-
Pan-Anayon ", Bukidnon-Tagoloanon , Cagayanen , Calinga , Canadian , Capizeño , Caviteño , Caviteño-Chavacano , Cebuano , Chinese , Cotabateño , Cotabateño-Chavacano ," Cuyonen/
Cuyunon ", Davao-Chavacano , Davaweño , Diangan , Dibabawon , Dumagat ," Dumagat-
Edimala ", Dumagat-Kabolowen ," Dumagat/
Remontado ", Dumagat-Tagebolus , Eskaya , French , Gaddang , German , Guiangan ," Higaonon/
Higa-onon ", Higaonon-Tagoloanon , Ibaloy , Ibanag , Ibatan , Ibukid , Ifugao ," Itneg/
Tinguian-Illaud ", Ilocano , Ilonggo , Imalawa , Indian , Indonesian ," Iranun/
Iraynun ", Isinai , Isnag , Isneg ," Isneg/
Isnag ", Italian , Itawes , Itneg ," Itneg/
Tinguian "," Itneg/
Tinguian-
Adasen "," Itneg/
Tinguian-
Balatok "," Itneg/
Tinguian-
Banao "," Itneg/
Tinguian-
Belwang "," Itneg/
Tinguian-
Binongan "," Itneg/
Tinguian-
Gubang "," Itneg/
Tinguian-
Inlaud "," Itneg/
Tinguian-
Mabaka "," Itneg/
Tinguian-
Maeng "," Itneg/
Tinguian-
Masadiit "," Itneg/
Tinguian-
Muyadan ", Ivatan , Iwak , Jama Mapun , Japanese , Kabayukan , Kabihug ," Kabihug/
Manide "," Kagan/
Kalagan "," Kailawan/
Kaylawan ", Kalanguya , Kalanguya-Ikalahan , Kalanguya-Yattuka , Kalinga ," Kalinga-
Ab-abaan ", Kalinga-Ableg/Dalupa , Kalinga-Aciga , Kalinga-Ammacian , Kalinga-Balatoc , Kalinga-Balinciagao , Kalinga-Ballayangan ," Kalinga-
Banao "," Kalinga-
Bangad "," Kalinga-
Basao "," Kalinga-
Biga "," Kalinga-
Buaya "," Kalinga-
Butbut "," Kalinga-
Cagaluan "," Kalinga-
Culminga "," Kalinga-
Dacalan "," Kalinga-
Dallac "," Kalinga-
Dananao ", Kalinga-Dangtalan ," Kalinga-
Dao-Angan "," Kalinga-
Dugpa "," Kalinga-
Gaang "," Kalinga-
Gaddang "," Kalinga-
Gubang "," Kalinga-
Guilayon "," Kalinga-
Guina-ang "," Kalinga-
Limos "," Kalinga-
Lubo ", Kalinga-Lubuagan ," Kalinga-
Mabaca ", Kalinga-Mabongtot , Kalinga-Magaogao ," Kalinga-
Malbong "," Kalinga-
Mangali "," Kalinga-
Minanga "," Kalinga-
Nanong "," Kalinga-
Pangol "," Kalinga-
Pinukpuk "," Kalinga-
Poswoy "," Kalinga-
Salegseg "," Kalinga-
Sumadel "," Kalinga-
Taloctoc "," Kalinga-
Tanglag "," Kalinga-
Tobog ", Kalinga-Tongrayan ," Kalinga-
Tulgao "," Kalinga-
Uma ", Kamiguin , Kankanaey ," Kankanaey-
Hak'ki ", Kapampangan , Karao , Karay-a , Karulano , Kaunana , Kolibugan , North Korean , South Korean , Lambanguian , Langilan , Magahats , Magkunana , Maguindanao , Malaueg , Mamanwa , Mandaya , Mangguangan , Mangyan , Alangan Mangyan ," Bangon
Mangyan ", Buhid Mangyan , Buhid Mangyan , Gubatnon Mangyan , Hanunuo Mangyan , Iraya Mangyan , Ratagnon Mangyan , Tadyawan Mangyan , Tau-buid Mangyan , Manobo , Manobo-Aromanon , Manobo-Ata , Manobo-Blit ," Manobo-
Blit-Tasaday ", Manobo-Dulangan , Manobo-Dulungan-Lambangian , Manobo-Dunggoanon , Manobo-Kirenteken , Manobo-Pulanguihon , Mansaka , Maranao ," Masbateño/
Masbatenon ", Matigsalog , Molbog , Obu-Manuvu , Palawani , Palawan-o ," Palawan-O-
Ken-ey "," Palawan-O-
Tao't-Bato ", Panay Bukidnon , Pan-Ayanon , Pangasinan , Parananum , Romblomanon , Sama/Samal , Sama Badjao , Sama Bangingi ," Sama Dilaut/
Sama Laut ", Sangir/Sangil , Sibuyan Mangyan-Tagabukid , Singaporean , South African , Spanish ," Subanen/
Subanon ", Surigaonon , Swiss , T'boli/Tboli ," T'duray/
Teduray ", Tagabawa , Tagakaulo , Tagalog , Tagbanua , Tagbanua-Tandulanen , Tagbanua-Calamian , Tagbanua-Kalamianen , Taiwanese , Talaandig , Talaingod ," Tausog/
Tausug ", Tigwahanon , Tinananen , Tingguian , Turkish , Tuwali , Tuwali-Kele-i ," Ubo Monuvu/
Manobo-Ubo/
Ubo Manobo/
Ubo Manuvu/
Ubo/Menuvu ", Umayamnon , Waray , Yakan , Yapayao , Yogad , Zamboangeño , Other Local Ethnicity , Other Foreign Ethnicity , Not Reported 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,"108,667,043","10,728","44,625","3,859","3,650","2,444","3,547","5,353","5,601","45,703","1,718","21,373",356,"2,019","3,125","1,276","1,693",460,"92,571","1,648","19,965","1,428","13,946","56,716","3,712","10,812","2,616",443,"6,153",350,"1,145","1,403",680,"1,077","1,036",264,"34,553",510,"55,473","2,477","94,316","5,978",958,"373,392","67,902","101,965","60,417","18,410","39,489","3,983","16,446","1,290","1,139","2,959","13,423","9,979",154,"59,352","12,832","1,531","72,157","7,079,814","15,522,998","1,872,005","72,084","6,945","6,330","18,712","135,839","34,011",320,"13,275","4,548","7,938",928,571,"51,725","6,542","1,733","788,321","498,271","20,905","8,683,525","102,577","7,842","11,912","339,606","10,268","142,753","7,684","43,351","43,143","1,069","1,157","11,547",222,"7,632","1,994","44,013","3,731","25,187","452,338","10,629","209,338","463,390","15,150","2,872","82,718","3,125","8,746,169","8,608,191","4,184","23,464","4,322","333,454","12,644","43,912","5,642",547,"1,304","289,716","29,055","12,466","12,571","2,571","4,476","1,259","9,157","1,362","24,345","5,240","17,991","11,684","4,475","23,472","3,274","48,967","9,278",201,308,"1,758","87,327",117,"116,882","6,779","3,143","29,818","6,786","1,524","2,858","3,190","2,349","3,052","1,671","4,589","5,050","2,793","4,397","3,386","8,912","1,753","1,119","3,269","1,648","2,812","1,099","2,450","1,996",858,"1,547","1,330","5,801","4,410","6,359","4,648","13,543","1,460","1,166","1,076","1,234","4,477",508,"3,842","6,496","14,165","1,806","5,659","8,473","2,639","2,774","4,474","8,016","5,885","3,816","23,649","466,970","5,879","3,209,738","2,996","614,942","5,896",573,"51,647",982,"6,646",574,"2,356","6,405",451,"2,021,099","24,350","17,952","523,475","7,645","14,539","23,030","3,838","18,636",169,"2,215","44,471","39,439","3,205","8,229","5,929","644,904","33,615","31,710",836,241,"39,767","1,111",876,"3,930","10,279","78,199","1,800,130","748,696","42,629","19,331","21,557","26,302","119,857","2,176","1,246","97,916","2,176","2,012,496","18,398","225,085","398,666","69,644","124,635","6,963","20,229","19,166","3,390",543,"4,952","758,499","586,203","13,777","181,125","138,646","13,878","152,604","28,273,666","40,783","1,402","7,968","6,508","2,153","102,306",300,"1,615,823","14,973","2,081","8,724",471,"115,462","2,172","12,549","8,751","4,106,539","282,715","4,206","35,777","487,110","834,719","25,129","18,590"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Capital Region,"13,403,551",114,925,117,13,5,197,4,30,199,263,612,45,7,27,43,61,12,30,119,264,87,"1,523",138,103,12,442,56,224,49,5,32,52,4,12,8,118,118,"1,032",373,93,39,138,482,910,167,429,140,24,218,77,129,189,6,38,36,15,272,68,145,"27,392","1,009,901","1,783,160","32,426","3,405",284,"1,118",405,"1,743",861,23,122,84,22,72,73,"5,488",367,252,"9,497","19,708","5,874","160,736","65,364","1,912","3,487","2,143","3,432","13,144",89,33,538,71,16,5,8,86,525,239,433,"4,170","5,043","1,650",769,"41,305","3,504",583,"5,675",156,"762,629","537,918",372,"8,149",418,"4,751",105,449,322,61,226,"14,741",484,47,65,37,4,95,226,38,22,3,5,10,6,"1,116",9,52,"2,579",5,43,38,416,22,122,46,19,897,"1,636",8,287,-,14,2,2,8,20,8,16,98,6,36,176,633,11,59,14,144,68,2,79,1,13,6,14,58,35,6,3,1,115,16,5,20,128,32,2,1,42,15,15,178,120,51,9,380,"2,103",388,"195,124",127,"31,120",62,47,72,330,"1,809",5,442,900,20,"38,861",235,215,634,76,"5,594",61,185,60,19,85,85,131,44,91,73,"2,193","5,952",86,47,16,25,54,25,98,24,54,"81,523","41,870",176,60,37,"6,269","2,565",299,69,313,157,"221,381",236,"11,561","2,526",133,302,92,62,179,736,113,933,"1,544","11,425","3,385",969,515,81,248,"7,518,672",280,77,259,11,649,51,67,"21,965",28,29,187,65,324,28,87,270,"562,573","3,060",162,522,"16,918","12,122","7,476","10,715"
City of Manila,"1,837,785",9,103,17,3,-,14,3,1,27,23,67,9,2,4,15,6,-,2,10,31,15,119,11,2,5,56,1,36,9,-,1,7,1,-,8,8,3,168,39,11,3,16,107,412,22,66,11,1,34,10,7,34,-,2,1,3,80,6,27,"5,338","103,579","237,691","4,474",458,38,78,39,417,53,2,18,18,-,17,14,"1,187",51,34,"1,751","5,314","1,095","24,419","30,116",523,539,426,508,"2,817",22,9,43,6,5,-,2,11,40,50,39,623,656,216,141,"5,015",641,60,634,26,"112,016","59,340",38,783,75,"1,699",4,36,34,10,21,"2,136",35,1,-,1,-,13,26,2,3,-,-,-,2,218,2,46,348,-,6,6,52,3,27,10,-,101,255,-,27,-,-,-,-,-,2,-,7,4,-,13,7,133,1,5,-,9,10,-,33,-,10,-,-,8,-,-,1,-,23,-,1,6,20,3,1,-,5,3,-,14,28,10,6,91,393,72,"60,413",10,"3,973",20,11,15,28,198,1,58,128,1,"10,522",17,7,102,6,"1,431",18,24,6,18,49,3,22,7,53,18,355,749,11,3,3,5,5,5,4,3,19,"19,611","7,052",34,9,5,"1,089",502,58,11,40,29,"35,870",54,"2,344",949,68,191,9,29,35,87,34,220,195,"1,625",413,161,119,19,16,"969,542",41,8,56,1,117,34,4,"4,332",-,-,43,7,20,2,22,46,"92,506","1,159",12,79,"2,991","2,522","1,199","4,607"
City of Mandaluyong,"419,333",1,48,1,-,-,6,-,1,31,15,1,-,-,-,2,3,-,-,26,9,2,100,5,-,-,4,-,5,-,-,2,-,3,-,-,-,6,12,27,10,3,1,13,24,2,27,9,-,2,5,1,17,1,-,2,-,27,12,11,831,"41,044","62,480","1,331",62,8,36,25,43,15,2,-,4,1,4,4,219,4,9,322,830,221,"5,784","2,279",26,103,63,152,500,5,-,8,-,-,-,-,5,36,7,16,57,230,34,35,"1,288",95,12,178,4,"25,221","21,609",2,613,78,23,8,6,-,-,7,308,11,-,24,-,-,-,13,-,1,-,2,-,-,18,1,-,121,-,-,1,8,-,2,16,-,30,58,-,6,-,-,-,-,-,-,-,-,-,-,-,9,45,7,2,1,8,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,-,5,3,1,1,5,-,-,3,73,1,"8,419",4,"1,537",4,-,2,34,102,-,16,33,-,219,16,1,10,57,150,-,3,1,-,-,6,-,2,-,1,46,150,-,-,-,-,-,-,4,1,2,754,"1,089",1,4,-,148,78,5,14,7,4,"9,594",12,912,51,3,-,-,3,2,22,5,44,50,500,125,25,4,10,2,"202,595",8,-,3,-,35,3,-,487,1,-,2,13,5,-,3,13,"22,395",41,2,12,609,456,521,597
City of Marikina,"452,961",3,15,3,2,-,2,-,-,6,2,10,-,-,-,-,10,-,-,1,9,-,38,2,-,-,18,6,11,-,-,1,6,-,-,-,4,1,12,8,3,-,1,2,4,13,-,-,4,-,-,-,-,-,-,8,-,6,-,-,887,"36,587","38,323",710,43,1,46,3,10,28,-,-,-,-,-,4,137,4,1,97,307,135,"3,361",375,29,73,26,74,265,1,-,12,-,-,-,-,1,7,9,10,132,118,37,8,"1,200",276,30,90,1,"21,940","10,174",3,109,9,26,-,1,1,-,4,329,24,10,1,1,-,1,10,-,1,-,-,-,-,123,-,2,106,-,-,-,-,1,-,-,-,22,40,-,1,-,-,-,-,-,-,-,-,-,-,1,1,17,-,1,-,7,4,-,3,-,-,-,-,-,3,-,-,-,9,-,1,-,3,-,-,-,-,1,-,3,1,-,-,1,28,3,"5,158",4,368,1,-,-,7,19,-,8,46,-,149,5,8,10,-,49,8,9,1,-,3,-,-,-,-,2,40,128,1,1,-,-,1,-,1,-,3,"1,382","1,026",7,-,-,91,13,1,4,5,7,"7,923",11,256,53,6,-,-,3,4,12,-,24,9,163,73,18,14,2,16,"306,155",1,-,3,1,8,-,-,154,-,-,3,1,3,1,1,7,"11,885",5,2,1,290,390,118,84
City of Pasig,"801,439",7,118,14,2,-,9,-,1,-,22,76,4,-,2,-,1,-,-,1,11,4,125,6,18,-,13,6,2,6,-,1,-,-,-,-,37,7,86,26,4,1,17,13,42,15,13,12,2,14,2,9,14,-,3,-,-,8,3,30,"2,034","57,507","80,432","1,665",282,13,72,6,101,71,1,4,3,-,9,7,254,28,6,342,478,368,"7,504","1,100",119,201,51,234,556,4,-,50,4,-,-,-,5,24,8,22,362,159,85,38,"2,361",206,60,214,15,"35,671","27,373",12,262,6,81,7,38,6,20,10,597,20,3,3,-,-,9,8,-,-,-,-,5,-,81,-,-,99,-,3,1,1,-,1,3,-,46,96,-,19,-,8,-,-,-,1,1,4,8,2,-,42,55,-,9,-,18,9,1,-,-,-,1,-,3,12,-,-,-,-,-,-,-,15,-,-,-,-,-,-,24,7,5,-,16,61,17,"6,461",3,"1,797",5,-,1,25,87,-,29,70,-,"1,031",27,8,35,-,117,-,9,-,-,6,13,11,14,7,-,103,334,9,7,-,-,-,9,13,-,-,"6,074","1,755",3,6,4,204,74,12,4,14,10,"13,176",6,447,58,6,-,20,-,5,48,6,82,69,423,314,45,15,4,30,"518,767",7,6,23,-,12,-,1,546,1,-,3,4,23,-,3,16,"23,777",118,15,23,667,682,408,520
Quezon City,"2,950,493",31,227,38,-,5,55,-,2,22,89,140,10,-,1,2,8,-,6,31,35,10,304,52,18,1,107,11,55,5,-,1,14,-,2,-,11,35,118,44,12,18,31,108,58,21,107,24,11,25,25,61,59,5,28,4,3,53,10,22,"7,071","237,174","438,314","6,206",628,57,248,122,280,253,-,26,25,4,10,10,604,75,60,"1,428","1,745","1,183","33,269","12,062",217,867,329,671,"1,856",15,-,78,5,1,1,2,21,82,48,83,"1,101",846,390,190,"12,899",720,146,"1,929",44,"213,602","123,574",98,"1,304",47,"1,026",25,123,53,15,38,"5,410",170,14,19,5,4,22,91,26,3,3,-,-,4,248,2,1,425,2,14,7,41,2,35,3,10,278,384,-,58,-,5,2,-,4,5,3,-,2,4,12,19,146,-,7,-,23,9,-,11,1,1,2,1,10,12,-,-,-,38,6,2,4,26,21,-,1,23,5,10,52,34,12,3,114,569,90,"39,804",25,"7,155",9,21,13,68,262,-,112,207,1,"4,834",73,35,142,4,792,1,60,24,1,8,22,15,7,11,8,515,"1,112",8,9,1,6,13,5,12,15,1,"20,308","7,440",11,10,4,902,339,70,7,69,39,"54,564",43,"1,884",348,12,39,16,5,31,154,11,130,346,"2,440",875,171,136,13,83,"1,544,032",67,31,68,-,135,7,18,"5,107",7,24,83,11,75,12,10,58,"130,530",803,23,167,"2,840","2,749","1,329","2,351"
