,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-,"AGUSAN DEL SUR, BUKIDNON, CAPIZ, DAVAO OCCIDENTAL, EASTERN SAMAR, ILOCOS NORTE, KALINGA, ZAMBOANGA SIBUGAY",,,OCCIDENTAL MINDORO,,,,,,,,,"DAVAO OCCIDENTAL, KALINGA",,"AGUSAN DEL SUR, BUKIDNON, CAPIZ, EASTERN SAMAR, ILOCOS NORTE, ZAMBOANGA SIBUGAY",,,
1,"AGUSAN DEL SUR, BUKIDNON, CAPIZ, DAVAO OCCIDENTAL, EASTERN SAMAR, ILOCOS NORTE, KALINGA, ZAMBOANGA SIBUGAY",-,"BILIRAN, BULACAN, CAVITE, DAVAO DE ORO, IFUGAO, LA UNION, LAGUNA, NCR - SECOND DISTRICT, NUEVA VIZCAYA, PAMPANGA, QUIRINO, ROMBLON, SOUTH COTABATO, SURIGAO DEL SUR",,,"ALBAY, ANTIQUE, BENGUET, DAVAO DEL SUR, LA UNION, NUEVA ECIJA, NUEVA VIZCAYA, ORIENTAL MINDORO, PALAWAN, PAMPANGA",,,,,,,,"AKLAN, BILIRAN, BULACAN, CAVITE, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO OCCIDENTAL, DAVAO ORIENTAL, IFUGAO, KALINGA, LAGUNA, MISAMIS ORIENTAL, NCR - SECOND DISTRICT, QUIRINO, RIZAL, ROMBLON, SARANGANI, SOUTH COTABATO, SURIGAO DEL SUR",,"AGUSAN DEL SUR, ALBAY, ANTIQUE, BUKIDNON, CAPIZ, DAVAO DEL SUR, EASTERN SAMAR, ILOCOS NORTE, NEGROS ORIENTAL, NUEVA ECIJA, PALAWAN, ZAMBOANGA SIBUGAY",,,
2,,"BILIRAN, BULACAN, CAVITE, DAVAO DE ORO, IFUGAO, LA UNION, LAGUNA, NCR - SECOND DISTRICT, NUEVA VIZCAYA, PAMPANGA, QUIRINO, ROMBLON, SOUTH COTABATO, SURIGAO DEL SUR",-,,,"LA UNION, NUEVA VIZCAYA, PAMPANGA, TARLAC",,,,,,,,"AURORA, BATAAN, BILIRAN, BULACAN, CAMARINES NORTE, CAVITE, DAVAO DE ORO, GUIMARAS, IFUGAO, LAGUNA, MARINDUQUE, NCR - SECOND DISTRICT, QUIRINO, ROMBLON, SIQUIJOR, SOUTH COTABATO, SURIGAO DEL SUR, ZAMBALES",,,,,
3,,,,-,,,,,,,,,,,,,,,
4,OCCIDENTAL MINDORO,,,,-,,,,,,,,,"CAMIGUIN, NCR - MANILA",,,,,
5,,"ALBAY, ANTIQUE, BENGUET, DAVAO DEL SUR, LA UNION, NUEVA ECIJA, NUEVA VIZCAYA, ORIENTAL MINDORO, PALAWAN, PAMPANGA","LA UNION, NUEVA VIZCAYA, PAMPANGA, TARLAC",,,-,"BOHOL, CAGAYAN, ILOCOS SUR, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, PANGASINAN",,,,,,,,,"ALBAY, ANTIQUE, BOHOL, CAGAYAN, DAVAO DEL SUR, ILOCOS SUR, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, NUEVA ECIJA, PALAWAN, PANGASINAN",,,
6,,,,,,"BOHOL, CAGAYAN, ILOCOS SUR, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, PANGASINAN",-,ISABELA,,,,,,,,"BOHOL, CAGAYAN, ILOCOS SUR, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, PANGASINAN, ZAMBOANGA DEL NORTE",,,
7,,,,,,,ISABELA,-,,,,,,,,MASBATE,,,
8,,,,,,,,,-,,,,,,,,,,
9,,,,,,,,,,-,,,,,,,,,
10,,,,,,,,,,,-,,,,,,,,
11,,,,,,,,,,,,-,,,,,,,
12,,,,,,,,,,,,,-,,,,,,
13,"DAVAO OCCIDENTAL, KALINGA","AKLAN, BILIRAN, BULACAN, CAVITE, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO OCCIDENTAL, DAVAO ORIENTAL, IFUGAO, KALINGA, LAGUNA, MISAMIS ORIENTAL, NCR - SECOND DISTRICT, QUIRINO, RIZAL, ROMBLON, SARANGANI, SOUTH COTABATO, SURIGAO DEL SUR","AURORA, BATAAN, BILIRAN, BULACAN, CAMARINES NORTE, CAVITE, DAVAO DE ORO, GUIMARAS, IFUGAO, LAGUNA, MARINDUQUE, NCR - SECOND DISTRICT, QUIRINO, ROMBLON, SIQUIJOR, SOUTH COTABATO, SURIGAO DEL SUR, ZAMBALES",,"CAMIGUIN, NCR - MANILA",,,,,,,,,-,,,,,
14,,,,,,,,,,,,,,,-,,,,
15,"AGUSAN DEL SUR, BUKIDNON, CAPIZ, EASTERN SAMAR, ILOCOS NORTE, ZAMBOANGA SIBUGAY","AGUSAN DEL SUR, ALBAY, ANTIQUE, BUKIDNON, CAPIZ, DAVAO DEL SUR, EASTERN SAMAR, ILOCOS NORTE, NEGROS ORIENTAL, NUEVA ECIJA, PALAWAN, ZAMBOANGA SIBUGAY",,,,"ALBAY, ANTIQUE, BOHOL, CAGAYAN, DAVAO DEL SUR, ILOCOS SUR, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, NUEVA ECIJA, PALAWAN, PANGASINAN","BOHOL, CAGAYAN, ILOCOS SUR, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, PANGASINAN, ZAMBOANGA DEL NORTE",MASBATE,,,,,,,,-,,,
16,,,,,,,,,,,,,,,,,-,,
17,,,,,,,,,,,,,,,,,,-,
18,,,,,,,,,,,,,,,,,,,-
