Province,Original Points,Points Removed,Points Remaining,% Removed
CAMIGUIN,55,1,54,1.8181818181818181
AURORA,125,2,123,1.6
BILIRAN,128,2,126,1.5625
APAYAO,128,2,126,1.5625
SIQUIJOR,131,2,129,1.5267175572519083
DAVAO OCCIDENTAL,132,2,130,1.5151515151515151
QUIRINO,136,2,134,1.4705882352941175
SARANGANI,204,3,201,1.4705882352941175
LANAO DEL SUR,205,3,202,1.4634146341463417
IFUGAO,209,3,206,1.4354066985645932
ROMBLON,210,3,207,1.4285714285714286
BASILAN,221,3,218,1.3574660633484164
SURIGAO DEL NORTE,308,4,304,1.2987012987012987
RIZAL,313,4,309,1.2779552715654952
ZAMBALES,235,3,232,1.276595744680851
AGUSAN DEL NORTE,239,3,236,1.2552301255230125
DAVAO ORIENTAL,241,3,238,1.2448132780082988
CATANDUANES,245,3,242,1.2244897959183674
NCR - THIRD DISTRICT,164,2,162,1.2195121951219512
SOUTH COTABATO,328,4,324,1.2195121951219512
AKLAN,330,4,326,1.2121212121212122
LA UNION,416,5,411,1.201923076923077
COTABATO,506,6,500,1.185770750988142
CAMARINES NORTE,253,3,250,1.185770750988142
BATAAN,169,2,167,1.183431952662722
AGUSAN DEL SUR,341,4,337,1.1730205278592376
ORIENTAL MINDORO,430,5,425,1.1627906976744187
PALAWAN,520,6,514,1.153846153846154
ANTIQUE,520,6,514,1.153846153846154
SURIGAO DEL SUR,347,4,343,1.1527377521613833
NCR - SECOND DISTRICT,263,3,260,1.1406844106463878
CAGAYAN,705,8,697,1.1347517730496455
EASTERN SAMAR,441,5,436,1.1337868480725624
PAMPANGA,533,6,527,1.125703564727955
MASBATE,534,6,528,1.1235955056179776
NEGROS ORIENTAL,534,6,528,1.1235955056179776
CAVITE,445,5,440,1.1235955056179776
GUIMARAS,89,1,88,1.1235955056179776
BUKIDNON,539,6,533,1.1131725417439702
TAWI-TAWI,180,2,178,1.1111111111111112
ZAMBOANGA DEL NORTE,631,7,624,1.109350237717908
NCR - FOURTH DISTRICT,181,2,179,1.1049723756906076
BATANGAS,913,10,903,1.095290251916758
SULU,92,1,91,1.0869565217391304
BULACAN,552,6,546,1.0869565217391304
DAVAO DEL NORTE,276,3,273,1.0869565217391304
MISAMIS OCCIDENTAL,460,5,455,1.0869565217391304
ILOCOS SUR,646,7,639,1.08359133126935
NEGROS OCCIDENTAL,740,8,732,1.0810810810810811
CAPIZ,464,5,459,1.0775862068965518
ABRA,279,3,276,1.0752688172043012
QUEZON,1117,12,1105,1.0743061772605194
MISAMIS ORIENTAL,467,5,462,1.070663811563169
ISABELA,935,10,925,1.06951871657754
LANAO DEL NORTE,375,4,371,1.0666666666666667
NUEVA ECIJA,753,8,745,1.0624169986719787
ILOILO,1415,15,1400,1.0600706713780919
MARINDUQUE,189,2,187,1.0582010582010581
DINAGAT ISLANDS,95,1,94,1.0526315789473684
SOUTHERN LEYTE,475,5,470,1.0526315789473684
CAMARINES SUR,952,10,942,1.050420168067227
NORTHERN SAMAR,477,5,472,1.0482180293501049
SAMAR,859,9,850,1.0477299185098952
MOUNTAIN PROVINCE,191,2,189,1.0471204188481675
DAVAO DE ORO,287,3,284,1.0452961672473868
OCCIDENTAL MINDORO,192,2,190,1.0416666666666665
TARLAC,480,5,475,1.0416666666666665
NCR - MANILA,96,1,95,1.0416666666666665
MAGUINDANAO,483,5,478,1.0351966873706004
BOHOL,1071,11,1060,1.0270774976657329
SORSOGON,487,5,482,1.0266940451745379
BENGUET,391,4,387,1.0230179028132993
ZAMBOANGA SIBUGAY,391,4,387,1.0230179028132993
NUEVA VIZCAYA,294,3,291,1.0204081632653061
ILOCOS NORTE,395,4,391,1.0126582278481013
LAGUNA,494,5,489,1.0121457489878543
SULTAN KUDARAT,297,3,294,1.0101010101010102
ALBAY,595,6,589,1.0084033613445378
LEYTE,1390,14,1376,1.0071942446043165
ZAMBOANGA DEL SUR,795,8,787,1.0062893081761006
PANGASINAN,1194,12,1182,1.0050251256281406
CEBU,1196,12,1184,1.0033444816053512
DAVAO DEL SUR,501,5,496,0.998003992015968
KALINGA,201,2,199,0.9950248756218906
TAGUIG - PATEROS,34,0,34,0.0
BATANES,21,0,21,0.0
