,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-,"AGUSAN DEL SUR, DAVAO OCCIDENTAL",,,,,,,,,,,,,
1,"AGUSAN DEL SUR, DAVAO OCCIDENTAL",-,"AKLAN, DAVAO DE ORO, OCCIDENTAL MINDORO, SARANGANI",,BATAAN,,"CAGAYAN, MISAMIS ORIENTAL",,"AKLAN, BATAAN, OCCIDENTAL MINDORO",,,,,,
2,,"AKLAN, DAVAO DE ORO, OCCIDENTAL MINDORO, SARANGANI",-,,,MASBATE,"EASTERN SAMAR, ILOCOS SUR, MASBATE, NORTHERN SAMAR, PALAWAN",,"AKLAN, APAYAO, AURORA, BILIRAN, BULACAN, CAMARINES NORTE, CAMIGUIN, CATANDUANES, CAVITE, DAVAO DEL NORTE, DAVAO ORIENTAL, DINAGAT ISLANDS, IFUGAO, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - SECOND DISTRICT, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, QUIRINO, RIZAL, ROMBLON, SIQUIJOR, TARLAC",,,,,,
3,,,,-,,,,,,,,,,,
4,,BATAAN,,,-,,,,BATAAN,,,,,,
5,,,MASBATE,,,-,"ISABELA, MASBATE, QUEZON, ZAMBOANGA DEL NORTE",,,,,,CEBU,,
6,,"CAGAYAN, MISAMIS ORIENTAL","EASTERN SAMAR, ILOCOS SUR, MASBATE, NORTHERN SAMAR, PALAWAN",,,"ISABELA, MASBATE, QUEZON, ZAMBOANGA DEL NORTE",-,,,,,,,,
7,,,,,,,,-,,,,,,,
8,,"AKLAN, BATAAN, OCCIDENTAL MINDORO","AKLAN, APAYAO, AURORA, BILIRAN, BULACAN, CAMARINES NORTE, CAMIGUIN, CATANDUANES, CAVITE, DAVAO DEL NORTE, DAVAO ORIENTAL, DINAGAT ISLANDS, IFUGAO, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - SECOND DISTRICT, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, QUIRINO, RIZAL, ROMBLON, SIQUIJOR, TARLAC",,BATAAN,,,,-,,,,,,
9,,,,,,,,,,-,,,,,
10,,,,,,,,,,,-,,,,
11,,,,,,,,,,,,-,,,
12,,,,,,CEBU,,,,,,,-,,
13,,,,,,,,,,,,,,-,
14,,,,,,,,,,,,,,,-
