Node ID,No. Provinces,Provinces Included,Provinces (Region),No. of Provinces in each Region,Mean Entropy (Raw),Mean L2 Norm (Raw),Mean Total Persistence (Raw),Mean Entropy (Scaled),Mean L2 Norm (Scaled),Mean Total Persistence (Scaled),Mean Admin Vote Share,Mean 2023 Poverty Incidence,Mean Functional_Literacy_Rate,Mean HHI,Mean GINI,Majority Dominant Dialect,Major Dialect Ratio,Provinces (Dialect)
0,4,"ABRA, AGUSAN DEL SUR, DAVAO OCCIDENTAL, SULTAN KUDARAT","ABRA (CAR), AGUSAN DEL SUR (Region 13), DAVAO OCCIDENTAL (Region 11), SULTAN KUDARAT (Region 12)","CAR (1), Region 13 (1), Region 11 (1), Region 12 (1)",0.9483490422352147,2.654197640761307,26.690429440503962,-0.8516120069333796,0.11646506626261205,0.07681286020152503,0.3202467913269442,19.75,61.85265941546322,5.091575003974706,0.7950556395193322,Ilocano,1/4,"ABRA (Ilocano), AGUSAN DEL SUR (Manobo), DAVAO OCCIDENTAL (Tagakaulo), SULTAN KUDARAT (Ilonggo)"
1,16,"AGUSAN DEL NORTE, AGUSAN DEL SUR, AKLAN, BATAAN, CAGAYAN, DAVAO DE ORO, DAVAO OCCIDENTAL, ILOCOS NORTE, KALINGA, LA UNION, MISAMIS ORIENTAL, OCCIDENTAL MINDORO, PAMPANGA, SARANGANI, SOUTH COTABATO, SURIGAO DEL NORTE","AGUSAN DEL NORTE (Region 13), AGUSAN DEL SUR (Region 13), AKLAN (Region 6), BATAAN (Region 3), CAGAYAN (Region 2), DAVAO DE ORO (Region 11), DAVAO OCCIDENTAL (Region 11), ILOCOS NORTE (Region 1), KALINGA (CAR), LA UNION (Region 1), MISAMIS ORIENTAL (Region 10), OCCIDENTAL MINDORO (Region 4-B), PAMPANGA (Region 3), SARANGANI (Region 12), SOUTH COTABATO (Region 12), SURIGAO DEL NORTE (Region 13)","Region 13 (3), Region 3 (2), Region 11 (2), Region 1 (2), Region 12 (2), Region 6 (1), Region 2 (1), CAR (1), Region 10 (1), Region 4-B (1)",0.9575166403198967,1.268671322641024,18.758050909893445,-0.3321963810517804,-0.1615722320435246,-0.39692819579744965,0.31173857479766653,10.200000000000001,67.13691708611344,5.2668424450033955,0.7636189526505301,Ilocano,4/16,"AGUSAN DEL NORTE (Bisaya/ Binisaya), AGUSAN DEL SUR (Manobo), AKLAN (Other Local Ethnicity), BATAAN (Tagalog), CAGAYAN (Ilocano), DAVAO DE ORO (Bisaya/ Binisaya), DAVAO OCCIDENTAL (Tagakaulo), ILOCOS NORTE (Ilocano), KALINGA (Ilocano), LA UNION (Ilocano), MISAMIS ORIENTAL (Bisaya/ Binisaya), OCCIDENTAL MINDORO (Tagalog), PAMPANGA (Kapampangan), SARANGANI (Blaan), SOUTH COTABATO (Ilonggo), SURIGAO DEL NORTE (Surigaonon)"
2,42,"AKLAN, ALBAY, ANTIQUE, APAYAO, AURORA, BATANGAS, BENGUET, BILIRAN, BULACAN, CAMARINES NORTE, CAMIGUIN, CAPIZ, CATANDUANES, CAVITE, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO ORIENTAL, DINAGAT ISLANDS, EASTERN SAMAR, IFUGAO, ILOCOS SUR, LAGUNA, MARINDUQUE, MASBATE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - SECOND DISTRICT, NEGROS ORIENTAL, NORTHERN SAMAR, NUEVA ECIJA, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, PANGASINAN, QUIRINO, RIZAL, ROMBLON, SARANGANI, SIQUIJOR, SORSOGON, SURIGAO DEL SUR, TARLAC","AKLAN (Region 6), ALBAY (Region 5), ANTIQUE (Region 6), APAYAO (CAR), AURORA (Region 3), BATANGAS (Region 4-A), BENGUET (CAR), BILIRAN (Region 8), BULACAN (Region 3), CAMARINES NORTE (Region 5), CAMIGUIN (Region 10), CAPIZ (Region 6), CATANDUANES (Region 5), CAVITE (Region 4-A), DAVAO DE ORO (Region 11), DAVAO DEL NORTE (Region 11), DAVAO ORIENTAL (Region 11), DINAGAT ISLANDS (Region 13), EASTERN SAMAR (Region 8), IFUGAO (CAR), ILOCOS SUR (Region 1), LAGUNA (Region 4-A), MARINDUQUE (Region 4-B), MASBATE (Region 5), MOUNTAIN PROVINCE (CAR), NATIONAL CAPITAL REGION - SECOND DISTRICT (NCR), NEGROS ORIENTAL (NIR), NORTHERN SAMAR (Region 8), NUEVA ECIJA (Region 3), NUEVA VIZCAYA (Region 2), OCCIDENTAL MINDORO (Region 4-B), ORIENTAL MINDORO (Region 4-B), PALAWAN (Region 4-B), PANGASINAN (Region 1), QUIRINO (Region 2), RIZAL (Region 4-A), ROMBLON (Region 4-B), SARANGANI (Region 12), SIQUIJOR (NIR), SORSOGON (Region 5), SURIGAO DEL SUR (Region 13), TARLAC (Region 3)","Region 5 (5), Region 4-B (5), CAR (4), Region 3 (4), Region 4-A (4), Region 6 (3), Region 8 (3), Region 11 (3), Region 13 (2), Region 1 (2), NIR (2), Region 2 (2), Region 10 (1), NCR (1), Region 12 (1)",0.9722457365178607,0.5721452539294131,17.51076879844664,0.502321302824308,-0.30134599441211385,-0.4714189355327313,0.35973191135812116,12.052380952380952,70.61687665296411,5.19861316030775,0.7513900682347219,Tagalog,11/42,"AKLAN (Other Local Ethnicity), ALBAY (Bikol/Bicol), ANTIQUE (Karay-a), APAYAO (Ilocano), AURORA (Tagalog), BATANGAS (Tagalog), BENGUET (Kankanaey), BILIRAN (Bisaya/ Binisaya), BULACAN (Tagalog), CAMARINES NORTE (Bikol/Bicol), CAMIGUIN (Cebuano), CAPIZ (Capizeño), CATANDUANES (Bikol/Bicol), CAVITE (Tagalog), DAVAO DE ORO (Bisaya/ Binisaya), DAVAO DEL NORTE (Bisaya/ Binisaya), DAVAO ORIENTAL (Mandaya), DINAGAT ISLANDS (Bisaya/ Binisaya), EASTERN SAMAR (Waray), IFUGAO (Tuwali), ILOCOS SUR (Ilocano), LAGUNA (Tagalog), MARINDUQUE (Tagalog), MASBATE (Masbateño/ Masbatenon), MOUNTAIN PROVINCE (Kankanaey), NATIONAL CAPITAL REGION - SECOND DISTRICT (Tagalog), NEGROS ORIENTAL (Bisaya/ Binisaya), NORTHERN SAMAR (Waray), NUEVA ECIJA (Tagalog), NUEVA VIZCAYA (Ilocano), OCCIDENTAL MINDORO (Tagalog), ORIENTAL MINDORO (Tagalog), PALAWAN (Cuyonen/ Cuyunon), PANGASINAN (Pangasinan), QUIRINO (Ilocano), RIZAL (Tagalog), ROMBLON (Romblomanon), SARANGANI (Blaan), SIQUIJOR (Bisaya/ Binisaya), SORSOGON (Bikol/Bicol), SURIGAO DEL SUR (Bisaya/ Binisaya), TARLAC (Kapampangan)"
3,1,BASILAN,BASILAN (BARMM),BARMM (1),0.9190206880399484,12.254703686373402,59.55590799484706,-2.5132910323113635,2.043024474325755,2.0396196597211933,0.15321717162121606,33.7,65.1104733376283,5.69915818895909,0.732576478300172,Yakan,1/1,BASILAN (Yakan)
4,3,"BATAAN, BATANES, NATIONAL CAPITAL REGION - MANILA","BATAAN (Region 3), BATANES (Region 2), NATIONAL CAPITAL REGION - MANILA (NCR)","Region 3 (1), Region 2 (1), NCR (1)",0.9541388526568685,0.4907080264619181,5.085346527323192,-0.5235742836256815,-0.31768822220705273,-1.2134955579783004,0.35830672161310234,3.8333333333333326,77.16660162707522,5.866599447866274,0.7382649635712837,Tagalog,2/3,"BATAAN (Tagalog), BATANES (Ivatan), NATIONAL CAPITAL REGION - MANILA (Tagalog)"
5,8,"BOHOL, CAMARINES SUR, CEBU, ILOILO, ISABELA, MASBATE, QUEZON, ZAMBOANGA DEL NORTE","BOHOL (Region 7), CAMARINES SUR (Region 5), CEBU (Region 7), ILOILO (Region 6), ISABELA (Region 2), MASBATE (Region 5), QUEZON (Region 4-A), ZAMBOANGA DEL NORTE (Region 9)","Region 7 (2), Region 5 (2), Region 6 (1), Region 2 (1), Region 4-A (1), Region 9 (1)",0.9730550480716494,0.6744961782778529,40.81619952160054,0.5481750873555906,-0.2808069587310136,0.9204384145284649,0.3471624349808915,15.7375,68.00607370315768,4.482596953158522,0.7474112333826541,Bikol/Bicol,1/8,"BOHOL (Boholano), CAMARINES SUR (Bikol/Bicol), CEBU (Cebuano), ILOILO (Ilonggo), ISABELA (Ilocano), MASBATE (Masbateño/ Masbatenon), QUEZON (Tagalog), ZAMBOANGA DEL NORTE (Bisaya/ Binisaya)"
6,15,"BUKIDNON, CAGAYAN, DAVAO DEL SUR, EASTERN SAMAR, ILOCOS SUR, ISABELA, MASBATE, MISAMIS ORIENTAL, NEGROS OCCIDENTAL, NORTHERN SAMAR, PALAWAN, QUEZON, SOUTHERN LEYTE, ZAMBOANGA DEL NORTE, ZAMBOANGA SIBUGAY","BUKIDNON (Region 10), CAGAYAN (Region 2), DAVAO DEL SUR (Region 11), EASTERN SAMAR (Region 8), ILOCOS SUR (Region 1), ISABELA (Region 2), MASBATE (Region 5), MISAMIS ORIENTAL (Region 10), NEGROS OCCIDENTAL (NIR), NORTHERN SAMAR (Region 8), PALAWAN (Region 4-B), QUEZON (Region 4-A), SOUTHERN LEYTE (Region 8), ZAMBOANGA DEL NORTE (Region 9), ZAMBOANGA SIBUGAY (Region 9)","Region 8 (3), Region 10 (2), Region 2 (2), Region 9 (2), Region 11 (1), Region 1 (1), Region 5 (1), NIR (1), Region 4-B (1), Region 4-A (1)",0.9682047711373455,0.9509959194577878,32.607460057270075,0.2733692324021481,-0.2253210108896813,0.43019240732574676,0.3364082842487752,15.160000000000002,65.55501075912649,4.82608485928047,0.7721618223106002,Bisaya/ Binisaya,5/15,"BUKIDNON (Cebuano), CAGAYAN (Ilocano), DAVAO DEL SUR (Bisaya/ Binisaya), EASTERN SAMAR (Waray), ILOCOS SUR (Ilocano), ISABELA (Ilocano), MASBATE (Masbateño/ Masbatenon), MISAMIS ORIENTAL (Bisaya/ Binisaya), NEGROS OCCIDENTAL (Ilonggo), NORTHERN SAMAR (Waray), PALAWAN (Cuyonen/ Cuyunon), QUEZON (Tagalog), SOUTHERN LEYTE (Bisaya/ Binisaya), ZAMBOANGA DEL NORTE (Bisaya/ Binisaya), ZAMBOANGA SIBUGAY (Bisaya/ Binisaya)"
7,2,"COTABATO, LANAO DEL SUR","COTABATO (Region 12), LANAO DEL SUR (BARMM)","Region 12 (1), BARMM (1)",0.9260300172315159,5.758568473939469,41.08737290413593,-2.1161581000625693,0.7394275232791052,0.9366335524817775,0.16446938565905114,15.05,62.5457974797348,5.090624063581285,0.7520143347411725,Ilonggo,1/2,"COTABATO (Ilonggo), LANAO DEL SUR (Maranao)"
8,30,"AKLAN, APAYAO, AURORA, BATAAN, BILIRAN, BULACAN, CAMARINES NORTE, CAMIGUIN, CATANDUANES, CAVITE, DAVAO DEL NORTE, DAVAO ORIENTAL, DINAGAT ISLANDS, GUIMARAS, IFUGAO, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, QUIRINO, RIZAL, ROMBLON, SIQUIJOR, TARLAC, ZAMBALES","AKLAN (Region 6), APAYAO (CAR), AURORA (Region 3), BATAAN (Region 3), BILIRAN (Region 8), BULACAN (Region 3), CAMARINES NORTE (Region 5), CAMIGUIN (Region 10), CATANDUANES (Region 5), CAVITE (Region 4-A), DAVAO DEL NORTE (Region 11), DAVAO ORIENTAL (Region 11), DINAGAT ISLANDS (Region 13), GUIMARAS (Region 6), IFUGAO (CAR), LAGUNA (Region 4-A), MARINDUQUE (Region 4-B), MOUNTAIN PROVINCE (CAR), NATIONAL CAPITAL REGION - FOURTH DISTRICT (NCR), NATIONAL CAPITAL REGION - SECOND DISTRICT (NCR), NATIONAL CAPITAL REGION - THIRD DISTRICT (NCR), NUEVA VIZCAYA (Region 2), OCCIDENTAL MINDORO (Region 4-B), ORIENTAL MINDORO (Region 4-B), QUIRINO (Region 2), RIZAL (Region 4-A), ROMBLON (Region 4-B), SIQUIJOR (NIR), TARLAC (Region 3), ZAMBALES (Region 3)","Region 3 (5), Region 4-B (4), CAR (3), Region 4-A (3), NCR (3), Region 6 (2), Region 5 (2), Region 11 (2), Region 2 (2), Region 8 (1), Region 10 (1), Region 13 (1), NIR (1)",0.9715338228669788,0.49763887849628036,11.715868425022425,0.46198586587226703,-0.3162973894603979,-0.8175045656777098,0.35617245943454723,9.636666666666667,73.19582305041203,5.369051050793953,0.7540977147376187,Tagalog,13/30,"AKLAN (Other Local Ethnicity), APAYAO (Ilocano), AURORA (Tagalog), BATAAN (Tagalog), BILIRAN (Bisaya/ Binisaya), BULACAN (Tagalog), CAMARINES NORTE (Bikol/Bicol), CAMIGUIN (Cebuano), CATANDUANES (Bikol/Bicol), CAVITE (Tagalog), DAVAO DEL NORTE (Bisaya/ Binisaya), DAVAO ORIENTAL (Mandaya), DINAGAT ISLANDS (Bisaya/ Binisaya), GUIMARAS (Ilonggo), IFUGAO (Tuwali), LAGUNA (Tagalog), MARINDUQUE (Tagalog), MOUNTAIN PROVINCE (Kankanaey), NATIONAL CAPITAL REGION - FOURTH DISTRICT (Tagalog), NATIONAL CAPITAL REGION - SECOND DISTRICT (Tagalog), NATIONAL CAPITAL REGION - THIRD DISTRICT (Tagalog), NUEVA VIZCAYA (Ilocano), OCCIDENTAL MINDORO (Tagalog), ORIENTAL MINDORO (Tagalog), QUIRINO (Ilocano), RIZAL (Tagalog), ROMBLON (Romblomanon), SIQUIJOR (Bisaya/ Binisaya), TARLAC (Kapampangan), ZAMBALES (Tagalog)"
9,1,LANAO DEL NORTE,LANAO DEL NORTE (Region 10),Region 10 (1),0.8642162936581825,35.49105707443864,53.33857181361347,-5.618385577896944,6.7059260980706155,1.668305129453619,0.2070701375468521,25.2,66.92465261542544,5.4623962014311,0.737392959783343,Bisaya/ Binisaya,1/1,LANAO DEL NORTE (Bisaya/ Binisaya)
