,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REGULAR INCOME AND DEPENDENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
by LGU,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 2019 (Final),,,,,,,,,,,,,,,,,,,,,,,,,,,
In Php Million,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION,PROVINCE,LGU NAME,LGU TYPE,INCOME CLASS,LOCALLY SOURCED REVENUE (LSR),,,,,,,,,INTEREST INCOME,INTERNAL REVENUE ALLOTMENT (IRA),OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,,,ANNUAL REGULAR INCOME (ARI),LSR DEPENDENCY,IRA DEPENDENCY,OTHER SHARES FROM NATIONAL TAX DEPENDENCY,
,,,,,TAX REVENUE,,,,NON-TAX REVENUE,,,,TOTAL LOCALLY - SOURCED REVENUE (LSR),,,"Share From Economic Zone 
(RA 7227)",Share From EVAT,Share From National Wealth,Share From Pagcor/PCSO/Lotto,Share From Tobacco Excise Tax (RA 7171),Others,TOTAL OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,
,,,,,"Real Property Tax 
(General Fund)",Tax On Business,Other Taxes,Total Tax Revenue,Regulatory Fees,Service/User Charges,Receipts From Economic Enterprises,Total Non-Tax Revenue,,,,,,,,,,,,,,,
,,,,,,,,,,,,,a,,b,,,,,,,c,d,e = a / d,f = b / d,g = c / d,
CAR,Abra,Abra,Province,3rd,5.03,5.54,0.87,11.45,0.84,42.07,0.00,42.91,54.35,0.28,"1,033.92",0.00,0.00,0.00,0.81,0.00,0.00,0.81,"1,089.36",5.0%,94.9%,0.1%,
CAR,Apayao,Apayao,Province,3rd,3.30,4.58,0.32,8.19,1.97,39.68,35.48,77.14,85.33,1.26,946.53,0.00,0.00,0.00,0.17,0.00,0.00,0.17,"1,033.29",8.3%,91.6%,0.0%,
CAR,Benguet,Benguet,Province,2nd,45.47,4.84,13.79,64.10,2.47,64.16,182.78,249.41,313.51,17.00,"1,061.70",0.00,0.00,23.23,0.61,0.00,0.00,23.84,"1,416.05",22.1%,75.0%,1.7%,
CAR,Ifugao,Ifugao,Province,3rd,11.67,3.10,0.77,15.53,0.56,87.00,3.92,91.48,107.01,4.39,841.93,0.00,0.00,0.00,0.14,0.00,0.00,0.14,953.46,11.2%,88.3%,0.0%,
CAR,Kalinga,Kalinga,Province,3rd,3.28,7.85,1.32,12.44,0.43,196.09,0.00,196.52,208.97,7.41,911.58,0.00,0.00,0.00,0.27,0.00,0.00,0.27,"1,128.23",18.5%,80.8%,0.0%,
CAR,Mountain Province,Mountain Province,Province,4th,6.34,2.36,0.45,9.15,0.08,84.14,0.00,84.22,93.36,0.58,753.37,0.00,0.00,0.27,0.13,0.00,0.00,0.39,847.71,11.0%,88.9%,0.0%,
Region I,Ilocos Norte,Ilocos Norte,Province,1st,69.50,15.32,2.84,87.66,10.00,112.62,0.00,122.61,210.28,12.31,"1,260.39",0.00,0.00,2.99,1.32,350.40,0.00,354.71,"1,837.69",11.4%,68.6%,19.3%,
Region I,Ilocos Sur,Ilocos Sur,Province,1st,21.17,29.28,4.54,55.00,13.82,459.30,0.00,473.12,528.12,35.06,"1,249.56",0.00,0.00,0.00,1.76,"2,220.34",0.00,"2,222.11","4,034.85",13.1%,31.0%,55.1%,
