Node ID,Size,Admin Vote Share (%),Provinces Included
0,26,42.47390125973813,"ABRA, AGUSAN DEL SUR, AKLAN, ALBAY, ANTIQUE, BATANGAS, BENGUET, BUKIDNON, CAMARINES NORTE, CAPIZ, DAVAO DEL NORTE, EASTERN SAMAR, MISAMIS OCCIDENTAL, NUEVA ECIJA, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, PAMPANGA, RIZAL, SORSOGON, SOUTHERN LEYTE, SULTAN KUDARAT, SURIGAO DEL NORTE, SURIGAO DEL SUR, ZAMBOANGA SIBUGAY"
1,24,42.03894741511541,"AGUSAN DEL NORTE, APAYAO, AURORA, BATAAN, BILIRAN, BULACAN, CATANDUANES, CAVITE, DAVAO DE ORO, DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, KALINGA, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NUEVA VIZCAYA, PANGASINAN, RIZAL, ROMBLON, SARANGANI, SURIGAO DEL SUR, TARLAC"
2,2,37.886629572537615,"BASILAN, LANAO DEL SUR"
3,1,42.030205672024664,BATANES
4,8,40.491076237417644,"BOHOL, CAGAYAN, CAMARINES SUR, ILOILO, LANAO DEL NORTE, MASBATE, NEGROS OCCIDENTAL, QUEZON"
5,5,43.70791600912564,"CAMIGUIN, GUIMARAS, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT"
6,2,42.67806760709982,"CEBU, LEYTE"
7,13,43.625069737404225,"AKLAN, BATANGAS, BENGUET, BUKIDNON, CAPIZ, DAVAO DEL SUR, ILOCOS NORTE, ILOCOS SUR, MISAMIS OCCIDENTAL, MISAMIS ORIENTAL, PALAWAN, SORSOGON, SOUTHERN LEYTE"
8,2,39.50373826622192,"CATANDUANES, IFUGAO"
9,4,40.25796720832542,"CAMARINES SUR, ILOILO, ISABELA, QUEZON"
10,18,41.84598171515167,"AKLAN, ALBAY, BATANGAS, BENGUET, BULACAN, CAMARINES NORTE, CAPIZ, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO OCCIDENTAL, LA UNION, NUEVA ECIJA, PAMPANGA, RIZAL, ROMBLON, SOUTH COTABATO, SULTAN KUDARAT, SURIGAO DEL SUR"
11,2,43.01174552703286,"MAGUINDANAO, NORTHERN SAMAR"
12,8,42.80405534084501,"ANTIQUE, CAGAYAN, EASTERN SAMAR, NEGROS ORIENTAL, NORTHERN SAMAR, ZAMBOANGA DEL NORTE, ZAMBOANGA DEL SUR, ZAMBOANGA SIBUGAY"
13,4,40.56449204043573,"LANAO DEL NORTE, NEGROS OCCIDENTAL, NORTH COTABATO, QUEZON"
14,1,44.64914702082471,QUIRINO
15,3,43.25944126080316,"DINAGAT ISLANDS, SARANGANI, SIQUIJOR"
16,1,44.23720664285386,SULU
17,1,39.911392888394815,TAWI-TAWI
18,1,48.9277259263849,WESTERN SAMAR
19,10,40.99114236685257,"AURORA, GUIMARAS, LAGUNA, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, PANGASINAN, SARANGANI, ZAMBALES"
