Province,Original Points,Removed Points,Retained Points,% Removed
BATANES,78,4,74,5.128205128205128
CAMIGUIN,221,4,217,1.809954751131222
DAVAO OCCIDENTAL,485,8,477,1.6494845360824744
BILIRAN,492,8,484,1.6260162601626018
APAYAO,492,8,484,1.6260162601626018
AURORA,494,8,486,1.6194331983805668
SIQUIJOR,523,8,515,1.5296367112810707
QUIRINO,540,8,532,1.4814814814814816
NATIONAL CAPITAL REGION - FOURTH DISTRICT,829,12,817,1.4475271411338964
LANAO DEL SUR,807,11,796,1.3630731102850062
ROMBLON,826,11,815,1.331719128329298
ZAMBALES,922,12,910,1.3015184381778742
NATIONAL CAPITAL REGION - MANILA,385,5,380,1.2987012987012987
AGUSAN DEL NORTE,854,11,843,1.288056206088993
BASILAN,854,11,843,1.288056206088993
SURIGAO DEL NORTE,1100,14,1086,1.2727272727272727
NATIONAL CAPITAL REGION - THIRD DISTRICT,629,8,621,1.2718600953895072
DAVAO ORIENTAL,949,12,937,1.2644889357218125
IFUGAO,809,10,799,1.2360939431396787
AKLAN,1301,16,1285,1.2298232129131437
CATANDUANES,979,12,967,1.2257405515832482
AGUSAN DEL SUR,1317,16,1301,1.2148823082763858
RIZAL,1240,15,1225,1.2096774193548387
SOUTH COTABATO,1241,15,1226,1.20870265914585
CAMARINES NORTE,998,12,986,1.2024048096192386
ORIENTAL MINDORO,1678,20,1658,1.1918951132300357
BATAAN,672,8,664,1.1904761904761905
SURIGAO DEL SUR,1262,15,1247,1.1885895404120443
CAVITE,1687,20,1667,1.1855364552459988
NATIONAL CAPITAL REGION - SECOND DISTRICT,1040,12,1028,1.153846153846154
SULU,347,4,343,1.1527377521613833
TAWI-TAWI,698,8,690,1.146131805157593
EASTERN SAMAR,1748,20,1728,1.1441647597254003
DAVAO DEL SUR,1925,22,1903,1.1428571428571428
ABRA,1054,12,1042,1.1385199240986716
PAMPANGA,2111,24,2087,1.1369019422074846
SARANGANI,793,9,784,1.1349306431273645
NEGROS ORIENTAL,2116,24,2092,1.1342155009451798
BUKIDNON,2120,24,2096,1.1320754716981132
MASBATE,2124,24,2100,1.1299435028248588
GUIMARAS,356,4,352,1.1235955056179776
ANTIQUE,2050,23,2027,1.121951219512195
DAVAO DEL NORTE,1074,12,1062,1.1173184357541899
LA UNION,1616,18,1598,1.1138613861386137
ZAMBOANGA DEL NORTE,2534,28,2506,1.1049723756906076
MAGUINDANAO,1810,20,1790,1.1049723756906076
MOUNTAIN PROVINCE,725,8,717,1.103448275862069
CAPIZ,1815,20,1795,1.1019283746556474
PALAWAN,2001,22,1979,1.0994502748625687
MISAMIS OCCIDENTAL,1822,20,1802,1.0976948408342482
BULACAN,2197,24,2173,1.0923987255348202
NORTH COTABATO,2199,24,2175,1.0914051841746248
NUEVA ECIJA,2951,32,2919,1.0843781768891902
MISAMIS ORIENTAL,1845,20,1825,1.084010840108401
SOUTHERN LEYTE,1848,20,1828,1.0822510822510822
LANAO DEL NORTE,1480,16,1464,1.0810810810810811
ISABELA,3706,40,3666,1.0793308148947653
DINAGAT ISLANDS,371,4,367,1.078167115902965
KALINGA,743,8,735,1.0767160161507403
ILOCOS SUR,2415,26,2389,1.0766045548654244
NEGROS OCCIDENTAL,2887,31,2856,1.0737790093522688
NUEVA VIZCAYA,1119,12,1107,1.0723860589812333
OCCIDENTAL MINDORO,748,8,740,1.06951871657754
CAMARINES SUR,3767,40,3727,1.0618529333687283
BENGUET,1508,16,1492,1.0610079575596816
DAVAO DE ORO,1131,12,1119,1.0610079575596816
ILOILO,5574,59,5515,1.0584858270541802
NORTHERN SAMAR,1891,20,1871,1.0576414595452142
TARLAC,1897,20,1877,1.0542962572482868
WESTERN SAMAR,3427,36,3391,1.0504814706740588
LAGUNA,1906,20,1886,1.049317943336831
MARINDUQUE,765,8,757,1.045751633986928
ZAMBOANGA SIBUGAY,1532,16,1516,1.0443864229765014
SULTAN KUDARAT,1151,12,1139,1.0425716768027802
ILOCOS NORTE,1538,16,1522,1.0403120936280885
CAGAYAN,2789,29,2760,1.0397992111868053
QUEZON,4337,45,4292,1.0375835831219737
BOHOL,4244,44,4200,1.0367577756833177
BATANGAS,3594,37,3557,1.0294936004451865
CEBU,4690,48,4642,1.023454157782516
SORSOGON,1857,19,1838,1.0231556273559503
ZAMBOANGA DEL SUR,3147,32,3115,1.0168414362885287
PANGASINAN,4722,48,4674,1.0165184243964422
LEYTE,5528,56,5472,1.0130246020260492
ALBAY,2371,24,2347,1.0122311261071277
