Node ID,Size,HHI,Provinces Included
0,26,5.084163398730573,"ABRA, AGUSAN DEL SUR, AKLAN, ALBAY, ANTIQUE, BATANGAS, BENGUET, BUKIDNON, CAMARINES NORTE, CAPIZ, DAVAO DEL NORTE, EASTERN SAMAR, MISAMIS OCCIDENTAL, NUEVA ECIJA, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, PAMPANGA, RIZAL, SORSOGON, SOUTHERN LEYTE, SULTAN KUDARAT, SURIGAO DEL NORTE, SURIGAO DEL SUR, ZAMBOANGA SIBUGAY"
1,24,5.258067238727602,"AGUSAN DEL NORTE, APAYAO, AURORA, BATAAN, BILIRAN, BULACAN, CATANDUANES, CAVITE, DAVAO DE ORO, DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, KALINGA, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NUEVA VIZCAYA, PANGASINAN, RIZAL, ROMBLON, SARANGANI, SURIGAO DEL SUR, TARLAC"
2,2,5.63774208069339,"BASILAN, LANAO DEL SUR"
3,1,6.07022514461917,BATANES
4,8,4.614363598329473,"BOHOL, CAGAYAN, CAMARINES SUR, ILOILO, LANAO DEL NORTE, MASBATE, NEGROS OCCIDENTAL, QUEZON"
5,5,5.94001069310097,"CAMIGUIN, GUIMARAS, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT"
6,2,4.238934477720175,"CEBU, LEYTE"
7,13,4.944225357405947,"AKLAN, BATANGAS, BENGUET, BUKIDNON, CAPIZ, DAVAO DEL SUR, ILOCOS NORTE, ILOCOS SUR, MISAMIS OCCIDENTAL, MISAMIS ORIENTAL, PALAWAN, SORSOGON, SOUTHERN LEYTE"
8,2,5.456621993465725,"CATANDUANES, IFUGAO"
9,4,4.446885778407485,"CAMARINES SUR, ILOILO, ISABELA, QUEZON"
10,18,5.193975454467395,"AKLAN, ALBAY, BATANGAS, BENGUET, BULACAN, CAMARINES NORTE, CAPIZ, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO OCCIDENTAL, LA UNION, NUEVA ECIJA, PAMPANGA, RIZAL, ROMBLON, SOUTH COTABATO, SULTAN KUDARAT, SURIGAO DEL SUR"
11,2,5.6171993266261,"MAGUINDANAO, NORTHERN SAMAR"
12,8,4.8365647653500226,"ANTIQUE, CAGAYAN, EASTERN SAMAR, NEGROS ORIENTAL, NORTHERN SAMAR, ZAMBOANGA DEL NORTE, ZAMBOANGA DEL SUR, ZAMBOANGA SIBUGAY"
13,4,4.766358958698955,"LANAO DEL NORTE, NEGROS OCCIDENTAL, NORTH COTABATO, QUEZON"
14,1,5.27460083993072,QUIRINO
15,3,5.536853382963602,"DINAGAT ISLANDS, SARANGANI, SIQUIJOR"
16,1,4.5284066968449705,SULU
17,1,5.7692288438244566,TAWI-TAWI
18,1,5.29388013881849,WESTERN SAMAR
19,10,5.478402426618564,"AURORA, GUIMARAS, LAGUNA, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, PANGASINAN, SARANGANI, ZAMBALES"
