Node ID,Size,GINI,Provinces Included
0,26,0.7575216634204641,"ABRA, AGUSAN DEL SUR, AKLAN, ALBAY, ANTIQUE, BATANGAS, BENGUET, BUKIDNON, CAMARINES NORTE, CAPIZ, DAVAO DEL NORTE, EASTERN SAMAR, MISAMIS OCCIDENTAL, NUEVA ECIJA, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, PAMPANGA, RIZAL, SORSOGON, SOUTHERN LEYTE, SULTAN KUDARAT, SURIGAO DEL NORTE, SURIGAO DEL SUR, ZAMBOANGA SIBUGAY"
1,24,0.7700197484194327,"AGUSAN DEL NORTE, APAYAO, AURORA, BATAAN, BILIRAN, BULACAN, CATANDUANES, CAVITE, DAVAO DE ORO, DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, KALINGA, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NUEVA VIZCAYA, PANGASINAN, RIZAL, ROMBLON, SARANGANI, SURIGAO DEL SUR, TARLAC"
2,2,0.7114468290335235,"BASILAN, LANAO DEL SUR"
3,1,0.624166139431896,BATANES
4,8,0.737112079456853,"BOHOL, CAGAYAN, CAMARINES SUR, ILOILO, LANAO DEL NORTE, MASBATE, NEGROS OCCIDENTAL, QUEZON"
5,5,0.7667473443170556,"CAMIGUIN, GUIMARAS, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT"
6,2,0.768361493975945,"CEBU, LEYTE"
7,13,0.7634801490732637,"AKLAN, BATANGAS, BENGUET, BUKIDNON, CAPIZ, DAVAO DEL SUR, ILOCOS NORTE, ILOCOS SUR, MISAMIS OCCIDENTAL, MISAMIS ORIENTAL, PALAWAN, SORSOGON, SOUTHERN LEYTE"
8,2,0.6822326646031645,"CATANDUANES, IFUGAO"
9,4,0.7326899895254164,"CAMARINES SUR, ILOILO, ISABELA, QUEZON"
10,18,0.7479996330245551,"AKLAN, ALBAY, BATANGAS, BENGUET, BULACAN, CAMARINES NORTE, CAPIZ, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO OCCIDENTAL, LA UNION, NUEVA ECIJA, PAMPANGA, RIZAL, ROMBLON, SOUTH COTABATO, SULTAN KUDARAT, SURIGAO DEL SUR"
11,2,0.7546597519973035,"MAGUINDANAO, NORTHERN SAMAR"
12,8,0.7612252825840142,"ANTIQUE, CAGAYAN, EASTERN SAMAR, NEGROS ORIENTAL, NORTHERN SAMAR, ZAMBOANGA DEL NORTE, ZAMBOANGA DEL SUR, ZAMBOANGA SIBUGAY"
13,4,0.7443995078328037,"LANAO DEL NORTE, NEGROS OCCIDENTAL, NORTH COTABATO, QUEZON"
14,1,0.742458628597777,QUIRINO
15,3,0.7478885252861459,"DINAGAT ISLANDS, SARANGANI, SIQUIJOR"
16,1,0.8132909395840907,SULU
17,1,0.722803255877714,TAWI-TAWI
18,1,0.852754284659909,WESTERN SAMAR
19,10,0.7589114925921916,"AURORA, GUIMARAS, LAGUNA, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, PANGASINAN, SARANGANI, ZAMBALES"
