Node ID,No. Provinces,Provinces Included,Provinces (Region),No. of Provinces in each Region,Mean Entropy (Raw),Mean L2 Norm (Raw),Mean Total Persistence (Raw),Mean Entropy (Scaled),Mean L2 Norm (Scaled),Mean Total Persistence (Scaled),Majority Dominant Dialect,Major Dialect Ratio,Provinces (Dialect),Mean_Poverty_Incidence,Basic_Literacy_Rate,Mean_IRA_Dependency,Mean_Admin_Vote,HHI,GINI
0,26,"ABRA, AGUSAN DEL SUR, AKLAN, ALBAY, ANTIQUE, BATANGAS, BENGUET, BUKIDNON, CAMARINES NORTE, CAPIZ, DAVAO DEL NORTE, EASTERN SAMAR, MISAMIS OCCIDENTAL, NUEVA ECIJA, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, PAMPANGA, RIZAL, SORSOGON, SOUTHERN LEYTE, SULTAN KUDARAT, SURIGAO DEL NORTE, SURIGAO DEL SUR, ZAMBOANGA SIBUGAY","ABRA (CAR), AGUSAN DEL SUR (REGION XIII), AKLAN (REGION VI), ALBAY (REGION V), ANTIQUE (REGION VI), BATANGAS (REGION IV-A), BENGUET (CAR), BUKIDNON (REGION X), CAMARINES NORTE (REGION V), CAPIZ (REGION VI), DAVAO DEL NORTE (REGION XI), EASTERN SAMAR (REGION VIII), MISAMIS OCCIDENTAL (REGION X), NUEVA ECIJA (REGION III), NUEVA VIZCAYA (REGION II), OCCIDENTAL MINDORO (MIMAROPA REGION), ORIENTAL MINDORO (MIMAROPA REGION), PALAWAN (MIMAROPA REGION), PAMPANGA (REGION III), RIZAL (REGION IV-A), SORSOGON (REGION V), SOUTHERN LEYTE (REGION VIII), SULTAN KUDARAT (REGION XII), SURIGAO DEL NORTE (REGION XIII), SURIGAO DEL SUR (REGION XIII), ZAMBOANGA SIBUGAY (REGION IX)","REGION XIII (3), REGION VI (3), REGION V (3), MIMAROPA REGION (3), CAR (2), REGION IV-A (2), REGION X (2), REGION VIII (2), REGION III (2), REGION XI (1), REGION II (1), REGION XII (1), REGION IX (1)",0.9932266529621777,9.824304200837137,117.92307692307692,0.29816150064874625,0.3300441826575382,-0.054398789343277576,Tagalog,5/26,"ABRA (Ilocano), AGUSAN DEL SUR (Manobo), AKLAN (Other Local Ethnicity), ALBAY (Bikol/Bicol), ANTIQUE (Karay-a), BATANGAS (Tagalog), BENGUET (Kankanaey), BUKIDNON (Cebuano), CAMARINES NORTE (Bikol/Bicol), CAPIZ (Capizeño), DAVAO DEL NORTE (Bisaya/ Binisaya), EASTERN SAMAR (Waray), MISAMIS OCCIDENTAL (Bisaya/ Binisaya), NUEVA ECIJA (Tagalog), NUEVA VIZCAYA (Ilocano), OCCIDENTAL MINDORO (Tagalog), ORIENTAL MINDORO (Tagalog), PALAWAN (Cuyonen/ Cuyunon), PAMPANGA (Kapampangan), RIZAL (Tagalog), SORSOGON (Bikol/Bicol), SOUTHERN LEYTE (Bisaya/ Binisaya), SULTAN KUDARAT (Ilonggo), SURIGAO DEL NORTE (Surigaonon), SURIGAO DEL SUR (Bisaya/ Binisaya), ZAMBOANGA SIBUGAY (Bisaya/ Binisaya)",15.391025641025639,89.77445722012092,83.14877442382166,42.47390125973813,5.084163398730573,0.7575216634204641
1,24,"AGUSAN DEL NORTE, APAYAO, AURORA, BATAAN, BILIRAN, BULACAN, CATANDUANES, CAVITE, DAVAO DE ORO, DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, KALINGA, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NUEVA VIZCAYA, PANGASINAN, RIZAL, ROMBLON, SARANGANI, SURIGAO DEL SUR, TARLAC","AGUSAN DEL NORTE (REGION XIII), APAYAO (CAR), AURORA (REGION III), BATAAN (REGION III), BILIRAN (REGION VIII), BULACAN (REGION III), CATANDUANES (REGION V), CAVITE (REGION IV-A), DAVAO DE ORO (REGION XI), DAVAO OCCIDENTAL (REGION XI), DAVAO ORIENTAL (REGION XI), DINAGAT ISLANDS (REGION XIII), KALINGA (CAR), LAGUNA (REGION IV-A), MARINDUQUE (MIMAROPA REGION), MOUNTAIN PROVINCE (CAR), NATIONAL CAPITAL REGION - FOURTH DISTRICT (NCR), NUEVA VIZCAYA (REGION II), PANGASINAN (REGION I), RIZAL (REGION IV-A), ROMBLON (MIMAROPA REGION), SARANGANI (REGION XII), SURIGAO DEL SUR (REGION XIII), TARLAC (REGION III)","REGION III (4), REGION XIII (3), CAR (3), REGION IV-A (3), REGION XI (3), MIMAROPA REGION (2), REGION VIII (1), REGION V (1), NCR (1), REGION II (1), REGION I (1), REGION XII (1)",0.9928495065243422,7.742214515582275,57.833333333333336,0.20954100518053034,-0.6857983496866021,-0.7135291324215958,Tagalog,8/24,"AGUSAN DEL NORTE (Bisaya/ Binisaya), APAYAO (Ilocano), AURORA (Tagalog), BATAAN (Tagalog), BILIRAN (Bisaya/ Binisaya), BULACAN (Tagalog), CATANDUANES (Bikol/Bicol), CAVITE (Tagalog), DAVAO DE ORO (Bisaya/ Binisaya), DAVAO OCCIDENTAL (Tagakaulo), DAVAO ORIENTAL (Mandaya), DINAGAT ISLANDS (Bisaya/ Binisaya), KALINGA (Ilocano), LAGUNA (Tagalog), MARINDUQUE (Tagalog), MOUNTAIN PROVINCE (Kankanaey), NATIONAL CAPITAL REGION - FOURTH DISTRICT (Tagalog), NUEVA VIZCAYA (Ilocano), PANGASINAN (Pangasinan), RIZAL (Tagalog), ROMBLON (Romblomanon), SARANGANI (Blaan), SURIGAO DEL SUR (Bisaya/ Binisaya), TARLAC (Kapampangan)",14.025,89.54541207171923,83.09274522667029,42.03894741511541,5.258067238727602,0.7700197484194327
2,2,"BASILAN, LANAO DEL SUR","BASILAN (BARMM), LANAO DEL SUR (BARMM)",BARMM (2),0.9849885758325287,11.701919338721401,102.5,-1.6375918399502296,1.2461244696613945,-0.22357604616495808,Tausog/ Tausug,1/2,"BASILAN (Tausog/ Tausug), LANAO DEL SUR (Maranao)",37.7,79.1435462522219,98.57087937942032,37.886629572537615,5.63774208069339,0.7114468290335235
3,1,BATANES,BATANES (REGION II),REGION II (1),0.9873179343530822,3.6029718422686474,12.0,-1.0902476640398004,-2.7053169079043022,-1.2162795007819514,Ivatan,1/1,BATANES (Ivatan),4.133333333333333,90.79448759195768,97.3339811947908,42.030205672024664,6.07022514461917,0.624166139431896
4,8,"BOHOL, CAGAYAN, CAMARINES SUR, ILOILO, LANAO DEL NORTE, MASBATE, NEGROS OCCIDENTAL, QUEZON","BOHOL (REGION VII), CAGAYAN (REGION II), CAMARINES SUR (REGION V), ILOILO (REGION VI), LANAO DEL NORTE (REGION X), MASBATE (REGION V), NEGROS OCCIDENTAL (REGION VI), QUEZON (REGION IV-A)","REGION V (2), REGION VI (2), REGION VII (1), REGION II (1), REGION X (1), REGION IV-A (1)",0.993858831147776,11.138082846166533,240.0,0.44670842675383315,0.9710310889673422,1.284675058916109,Ilonggo,2/8,"BOHOL (Boholano), CAGAYAN (Ilocano), CAMARINES SUR (Bikol/Bicol), ILOILO (Ilonggo), LANAO DEL NORTE (Bisaya/ Binisaya), MASBATE (Masbateño/ Masbatenon), NEGROS OCCIDENTAL (Ilonggo), QUEZON (Tagalog)",16.755208333333336,89.24578576166564,86.36751547868587,40.491076237417644,4.614363598329473,0.737112079456853
5,5,"CAMIGUIN, GUIMARAS, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT","CAMIGUIN (REGION X), GUIMARAS (REGION VI), NATIONAL CAPITAL REGION - MANILA (NCR), NATIONAL CAPITAL REGION - SECOND DISTRICT (NCR), NATIONAL CAPITAL REGION - THIRD DISTRICT (NCR)","NCR (3), REGION X (1), REGION VI (1)",0.9913326802838794,5.005571617675522,22.8,-0.146877296793926,-2.0209945572365724,-1.0978132321646747,Tagalog,3/5,"CAMIGUIN (Cebuano), GUIMARAS (Ilonggo), NATIONAL CAPITAL REGION - MANILA (Tagalog), NATIONAL CAPITAL REGION - SECOND DISTRICT (Tagalog), NATIONAL CAPITAL REGION - THIRD DISTRICT (Tagalog)",5.218333333333333,91.76349452462509,56.189197421352276,43.70791600912564,5.94001069310097,0.7667473443170556
6,2,"CEBU, LEYTE","CEBU (REGION VII), LEYTE (REGION VIII)","REGION VII (1), REGION VIII (1)",0.9940628638381219,12.220708801506984,428.5,0.4946512847427398,1.4992395997932895,3.352350210245426,Cebuano,1/2,"CEBU (Cebuano), LEYTE (Waray)",18.65833333333333,90.87580040317931,80.60647807538417,42.67806760709982,4.238934477720175,0.768361493975945
7,13,"AKLAN, BATANGAS, BENGUET, BUKIDNON, CAPIZ, DAVAO DEL SUR, ILOCOS NORTE, ILOCOS SUR, MISAMIS OCCIDENTAL, MISAMIS ORIENTAL, PALAWAN, SORSOGON, SOUTHERN LEYTE","AKLAN (REGION VI), BATANGAS (REGION IV-A), BENGUET (CAR), BUKIDNON (REGION X), CAPIZ (REGION VI), DAVAO DEL SUR (REGION XI), ILOCOS NORTE (REGION I), ILOCOS SUR (REGION I), MISAMIS OCCIDENTAL (REGION X), MISAMIS ORIENTAL (REGION X), PALAWAN (MIMAROPA REGION), SORSOGON (REGION V), SOUTHERN LEYTE (REGION VIII)","REGION X (3), REGION VI (2), REGION I (2), REGION IV-A (1), CAR (1), REGION XI (1), MIMAROPA REGION (1), REGION V (1), REGION VIII (1)",0.9945250071927119,10.027293734890076,150.30769230769232,0.603244045942247,0.42908189643712213,0.3008312611401514,Bisaya/ Binisaya,4/13,"AKLAN (Other Local Ethnicity), BATANGAS (Tagalog), BENGUET (Kankanaey), BUKIDNON (Cebuano), CAPIZ (Capizeño), DAVAO DEL SUR (Bisaya/ Binisaya), ILOCOS NORTE (Ilocano), ILOCOS SUR (Ilocano), MISAMIS OCCIDENTAL (Bisaya/ Binisaya), MISAMIS ORIENTAL (Bisaya/ Binisaya), PALAWAN (Cuyonen/ Cuyunon), SORSOGON (Bikol/Bicol), SOUTHERN LEYTE (Bisaya/ Binisaya)",11.231410256410253,91.04493811620364,76.44804410205573,43.625069737404225,4.944225357405947,0.7634801490732637
8,2,"CATANDUANES, IFUGAO","CATANDUANES (REGION V), IFUGAO (CAR)","REGION V (1), CAR (1)",0.9882971373673164,8.61708707631499,58.0,-0.8601581084192962,-0.25895181955534297,-0.7117009492639216,Bikol/Bicol,1/2,"CATANDUANES (Bikol/Bicol), IFUGAO (Tuwali)",12.533333333333333,90.55806235989878,86.27787191921416,39.50373826622192,5.456621993465725,0.6822326646031645
9,4,"CAMARINES SUR, ILOILO, ISABELA, QUEZON","CAMARINES SUR (REGION V), ILOILO (REGION VI), ISABELA (REGION II), QUEZON (REGION IV-A)","REGION V (1), REGION VI (1), REGION II (1), REGION IV-A (1)",0.9947538336982525,10.907937039386965,288.75,0.6570128642656264,0.8587439474368732,1.81941863253576,Bikol/Bicol,1/4,"CAMARINES SUR (Bikol/Bicol), ILOILO (Ilonggo), ISABELA (Ilocano), QUEZON (Tagalog)",14.910416666666666,89.36952303432456,82.97898982119159,40.25796720832542,4.446885778407485,0.7326899895254164
