,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-,"NUEVA VIZCAYA, RIZAL, SURIGAO DEL SUR",,,,,,"AKLAN, BATANGAS, BENGUET, BUKIDNON, CAPIZ, MISAMIS OCCIDENTAL, PALAWAN, SORSOGON, SOUTHERN LEYTE",,,"AKLAN, ALBAY, BATANGAS, BENGUET, CAMARINES NORTE, CAPIZ, DAVAO DEL NORTE, NUEVA ECIJA, PAMPANGA, RIZAL, SULTAN KUDARAT, SURIGAO DEL SUR",,"ANTIQUE, EASTERN SAMAR, ZAMBOANGA SIBUGAY",,,,,,,
1,"NUEVA VIZCAYA, RIZAL, SURIGAO DEL SUR",-,,,,,,,CATANDUANES,,"BULACAN, DAVAO DE ORO, DAVAO OCCIDENTAL, RIZAL, ROMBLON, SURIGAO DEL SUR",,,,,"DINAGAT ISLANDS, SARANGANI",,,,"AURORA, LAGUNA, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PANGASINAN, SARANGANI"
2,,,-,,,,,,,,,,,,,,,,,
3,,,,-,,,,,,,,,,,,,,,,
4,,,,,-,,,,,"CAMARINES SUR, ILOILO, QUEZON",,,CAGAYAN,"LANAO DEL NORTE, NEGROS OCCIDENTAL, QUEZON",,,,,,
5,,,,,,-,,,,,,,,,,,,,,"GUIMARAS, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT"
6,,,,,,,-,,,,,,,,,,,,,
7,"AKLAN, BATANGAS, BENGUET, BUKIDNON, CAPIZ, MISAMIS OCCIDENTAL, PALAWAN, SORSOGON, SOUTHERN LEYTE",,,,,,,-,,,"AKLAN, BATANGAS, BENGUET, CAPIZ",,,,,,,,,
8,,CATANDUANES,,,,,,,-,,,,,,,,,,,
9,,,,,"CAMARINES SUR, ILOILO, QUEZON",,,,,-,,,,QUEZON,,,,,,
10,"AKLAN, ALBAY, BATANGAS, BENGUET, CAMARINES NORTE, CAPIZ, DAVAO DEL NORTE, NUEVA ECIJA, PAMPANGA, RIZAL, SULTAN KUDARAT, SURIGAO DEL SUR","BULACAN, DAVAO DE ORO, DAVAO OCCIDENTAL, RIZAL, ROMBLON, SURIGAO DEL SUR",,,,,,"AKLAN, BATANGAS, BENGUET, CAPIZ",,,-,,,,,,,,,
11,,,,,,,,,,,,-,NORTHERN SAMAR,,,,,,,
12,"ANTIQUE, EASTERN SAMAR, ZAMBOANGA SIBUGAY",,,,CAGAYAN,,,,,,,NORTHERN SAMAR,-,,,,,,,
13,,,,,"LANAO DEL NORTE, NEGROS OCCIDENTAL, QUEZON",,,,,QUEZON,,,,-,,,,,,
14,,,,,,,,,,,,,,,-,,,,,
15,,"DINAGAT ISLANDS, SARANGANI",,,,,,,,,,,,,,-,,,,SARANGANI
16,,,,,,,,,,,,,,,,,-,,,
17,,,,,,,,,,,,,,,,,,-,,
18,,,,,,,,,,,,,,,,,,,-,
19,,"AURORA, LAGUNA, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PANGASINAN, SARANGANI",,,,"GUIMARAS, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT",,,,,,,,,,SARANGANI,,,,-
